year,month,state,fips,dead
1999,10,Oregon,41,2383
1999,10,Pennsylvania,42,10683
1999,10,Rhode Island,44,768
1999,10,South Carolina,45,2935
1999,10,South Dakota,46,570
1999,10,Tennessee,47,4328
1999,10,Texas,48,12008
1999,10,Utah,49,1030
1999,10,Vermont,50,440
1999,10,Virginia,51,4638
1999,10,Washington,53,3691
1999,10,West Virginia,54,1688
1999,10,Wisconsin,55,3958
1999,10,Wyoming,56,350
1999,11,Alabama,01,3593
1999,11,Alaska,02,229
1999,11,Arizona,04,3233
1999,11,Arkansas,05,2161
1999,11,California,06,18256
1999,11,Colorado,08,2263
1999,11,Connecticut,09,2394
1999,11,Delaware,10,517
1999,11,District of Columbia,11,512
1999,11,Florida,12,13095
1999,11,Georgia,13,4999
1999,11,Hawaii,15,674
1999,11,Idaho,16,795
1999,11,Illinois,17,8668
1999,11,Indiana,18,4337
1999,11,Iowa,19,2306
1999,11,Kansas,20,1960
1999,11,Kentucky,21,3159
1999,11,Louisiana,22,3310
1999,11,Maine,23,962
1999,11,Maryland,24,3522
1999,11,Massachusetts,25,4536
1999,11,Michigan,26,6981
1999,11,Minnesota,27,3146
1999,11,Mississippi,28,2137
1999,11,Missouri,29,4583
1999,11,Montana,30,661
1999,11,Nebraska,31,1270
1999,11,Nevada,32,1254
1999,11,New Hampshire,33,719
1999,11,New Jersey,34,5847
1999,11,New Mexico,35,1165
1999,11,New York,36,12718
1999,11,North Carolina,37,5785
1999,11,North Dakota,38,495
1999,11,Ohio,39,8707
1999,11,Oklahoma,40,2829
1999,11,Oregon,41,2388
1999,11,Pennsylvania,42,10441
1999,11,Rhode Island,44,714
1999,11,South Carolina,45,2850
1999,11,South Dakota,46,605
1999,11,Tennessee,47,4317
1999,11,Texas,48,11776
1999,11,Utah,49,957
1999,11,Vermont,50,399
1999,11,Virginia,51,4510
1999,11,Washington,53,3541
1999,11,West Virginia,54,1737
1999,11,Wisconsin,55,3736
1999,11,Wyoming,56,336
1999,12,Alabama,01,4254
1999,12,Alaska,02,248
1999,12,Arizona,04,3993
1999,12,Arkansas,05,2633
1999,12,California,06,23685
1999,12,Colorado,08,2565
1999,12,Connecticut,09,2669
1999,12,Delaware,10,569
1999,12,District of Columbia,11,523
1999,12,Florida,12,14711
1999,12,Georgia,13,5692
1999,12,Hawaii,15,787
1999,12,Idaho,16,920
1999,12,Illinois,17,10106
1999,12,Indiana,18,5022
1999,12,Iowa,19,2740
1999,12,Kansas,20,2331
1999,12,Kentucky,21,3631
1999,12,Louisiana,22,4078
1999,12,Maine,23,1039
1999,12,Maryland,24,3855
1999,12,Massachusetts,25,4937
1999,12,Michigan,26,8002
1999,12,Minnesota,27,3740
1999,12,Mississippi,28,2747
1999,12,Missouri,29,5326
1999,12,Montana,30,809
1999,12,Nebraska,31,1472
1999,12,Nevada,32,1457
1999,12,New Hampshire,33,860
1999,12,New Jersey,34,6710
1999,12,New Mexico,35,1354
1999,12,New York,36,14497
1999,12,North Carolina,37,6406
1999,12,North Dakota,38,594
1999,12,Ohio,39,9617
1999,12,Oklahoma,40,3264
1999,12,Oregon,41,2588
1999,12,Pennsylvania,42,11575
1999,12,Rhode Island,44,942
1999,12,South Carolina,45,3411
1999,12,South Dakota,46,709
1999,12,Tennessee,47,4828
1999,12,Texas,48,13842
1999,12,Utah,49,1129
1999,12,Vermont,50,444
1999,12,Virginia,51,4887
1999,12,Washington,53,3923
1999,12,West Virginia,54,1827
1999,12,Wisconsin,55,4429
1999,12,Wyoming,56,404
2000,01,Alabama,01,4782
2000,01,Alaska,02,274
2000,01,Arizona,04,4068
2000,01,Arkansas,05,2969
2000,01,California,06,24357
2000,01,Colorado,08,2528
2000,01,Connecticut,09,3195
2000,01,Delaware,10,698
2000,01,District of Columbia,11,596
2000,01,Florida,12,16274
2000,01,Georgia,13,6502
2000,01,Hawaii,15,800
2000,01,Idaho,16,911
2000,01,Illinois,17,10975
2000,01,Indiana,18,5556
2000,01,Iowa,19,3023
2000,01,Kansas,20,2694
2000,01,Kentucky,21,4050
2000,01,Louisiana,22,4258
2000,01,Maine,23,1308
2000,01,Maryland,24,4507
2000,01,Massachusetts,25,5933
2000,01,Michigan,26,9064
2000,01,Minnesota,27,4051
2000,01,Mississippi,28,2985
2000,01,Missouri,29,6023
2000,01,Montana,30,731
2000,01,Nebraska,31,1578
2000,01,Nevada,32,1418
2000,01,New Hampshire,33,989
2000,01,New Jersey,34,7869
2000,01,New Mexico,35,1227
2000,01,New York,36,16625
2000,01,North Carolina,37,7362
2000,01,North Dakota,38,560
