date,age,covid,all
2016-04,15-24,,2582
2016-05,15-24,,2795
2016-06,15-24,,2750
2016-07,15-24,,2870
2016-08,15-24,,2908
2016-09,15-24,,2672
2016-10,15-24,,2769
2016-11,15-24,,2779
2016-12,15-24,,2783
2017-01,15-24,,2751
2017-02,15-24,,2293
2017-03,15-24,,2684
2017-04,15-24,,2631
2017-05,15-24,,2898
2017-06,15-24,,2785
2017-07,15-24,,2758
2017-08,15-24,,2735
2017-09,15-24,,2597
2017-10,15-24,,2680
2017-11,15-24,,2556
2017-12,15-24,,2657
2018-01,15-24,,2629
2018-02,15-24,,2255
2018-03,15-24,,2476
2018-04,15-24,,2406
2018-05,15-24,,2695
2018-06,15-24,,2622
2018-07,15-24,,2714
2018-08,15-24,,2515
2018-09,15-24,,2537
2018-10,15-24,,2586
2018-11,15-24,,2362
2018-12,15-24,,2357
2019-01,15-24,,2324
2019-02,15-24,,2107
2019-03,15-24,,2388
2019-04,15-24,,2333
2019-05,15-24,,2602
2019-06,15-24,,2578
2019-07,15-24,,2645
2019-08,15-24,,2570
2019-09,15-24,,2512
2019-10,15-24,,2586
2019-11,15-24,,2527
2019-12,15-24,,2599
2020-01,15-24,,2576
2020-02,15-24,,2390
2020-03,15-24,12,2633
2020-04,15-24,73,2821
2020-05,15-24,43,3071
2020-06,15-24,35,3231
2020-07,15-24,86,3481
2020-08,15-24,53,3372
2020-09,15-24,25,3121
2020-10,15-24,29,3068
2020-11,15-24,47,3003
2020-12,15-24,98,3049
2021-01,15-24,108,3098
2021-02,15-24,63,2645
2021-03,15-24,33,3102
2021-04,15-24,39,3144
2021-05,15-24,52,3379
2021-06,15-24,21,3316
2021-07,15-24,75,3343
2021-08,15-24,263,3374
2021-09,15-24,301,3386
2021-10,15-24,168,3417
2021-11,15-24,125,2994
2021-12,15-24,153,3109
2022-01,15-24,191,3058
2022-02,15-24,80,2750
2022-03,15-24,25,2867
2022-04,15-24,15,2723
2022-05,15-24,14,3050
2022-06,15-24,20,3052
2022-07,15-24,18,3163
2022-08,15-24,25,2996
2022-09,15-24,17,2856
2022-10,15-24,11,2998
2022-11,15-24,13,2829
2022-12,15-24,18,2890
2023-01,15-24,15,2911
2023-02,15-24,11,2524
2023-03,15-24,,2769
2023-04,15-24,,2922
2023-05,15-24,,3026
2023-06,15-24,,2971
2023-07,15-24,,3009
2023-08,15-24,,2983
2023-09,15-24,,2689
2023-10,15-24,,2753
2023-11,15-24,10,2557
2023-12,15-24,11,2592
2024-01,15-24,11,2540
2024-02,15-24,,2293
2024-03,15-24,,2467
2024-04,15-24,,2436
2024-05,15-24,,2365
2024-06,15-24,,1098
2018-01,25-34,,5129
2018-02,25-34,,4432
2018-03,25-34,,4898
2018-04,25-34,,4729
2018-05,25-34,,5062
2018-06,25-34,,4989
2018-07,25-34,,5180
2018-08,25-34,,5077
2018-09,25-34,,4957
2018-10,25-34,,4912
2018-11,25-34,,4658
2018-12,25-34,,4821
2019-01,25-34,,4593
2019-02,25-34,,4372
2019-03,25-34,,4950
2019-04,25-34,,4739
2019-05,25-34,,4975
2019-06,25-34,,5007
2019-07,25-34,,5229
2019-08,25-34,,5200
2019-09,25-34,,4901
2019-10,25-34,,5035
2019-11,25-34,,4943
2019-12,25-34,,5234
2020-01,25-34,,5188
2020-02,25-34,,5008
2020-03,25-34,93,5493
2020-04,25-34,398,6122
2020-05,25-34,207,6583
2020-06,25-34,159,6560
2020-07,25-34,311,6880
2020-08,25-34,189,6714
2020-09,25-34,123,6082
2020-10,25-34,113,6174
2020-11,25-34,248,6185
2020-12,25-34,413,6497
2021-01,25-34,588,6869
2021-02,25-34,267,5746
