age,date,state,dead
all,2021-09,Massachusetts,301
all,2021-09,Michigan,790
all,2021-09,Minnesota,328
all,2021-09,Mississippi,946
all,2021-09,Missouri,931
all,2021-09,Montana,255
all,2021-09,Nebraska,158
all,2021-09,Nevada,669
all,2021-09,New Hampshire,58
all,2021-09,New Jersey,513
all,2021-09,New Mexico,325
all,2021-09,New York,1127
all,2021-09,North Carolina,2512
all,2021-09,North Dakota,68
all,2021-09,Ohio,2176
all,2021-09,Oklahoma,1245
all,2021-09,Oregon,840
all,2021-09,Pennsylvania,1274
all,2021-09,Rhode Island,60
all,2021-09,South Carolina,1958
all,2021-09,South Dakota,94
all,2021-09,Tennessee,2785
all,2021-09,Texas,8329
all,2021-09,Utah,289
all,2021-09,Vermont,38
all,2021-09,Virginia,1216
all,2021-09,Washington,1116
all,2021-09,West Virginia,642
all,2021-09,Wisconsin,592
all,2021-09,Wyoming,186
all,2021-10,Alabama,830
all,2021-10,Alaska,209
all,2021-10,Arizona,1047
all,2021-10,Arkansas,364
all,2021-10,California,2556
all,2021-10,Colorado,717
all,2021-10,Connecticut,128
all,2021-10,Delaware,112
all,2021-10,District of Columbia,27
all,2021-10,Florida,2305
all,2021-10,Georgia,1437
all,2021-10,Hawaii,80
all,2021-10,Idaho,564
all,2021-10,Illinois,858
all,2021-10,Indiana,908
all,2021-10,Iowa,434
all,2021-10,Kansas,329
all,2021-10,Kentucky,1012
all,2021-10,Louisiana,405
all,2021-10,Maine,147
all,2021-10,Maryland,426
all,2021-10,Massachusetts,295
all,2021-10,Michigan,1257
all,2021-10,Minnesota,544
all,2021-10,Mississippi,322
all,2021-10,Missouri,551
all,2021-10,Montana,413
all,2021-10,Nebraska,212
all,2021-10,Nevada,496
all,2021-10,New Hampshire,94
all,2021-10,New Jersey,497
all,2021-10,New Mexico,335
all,2021-10,New York,1181
all,2021-10,North Carolina,1468
all,2021-10,North Dakota,158
all,2021-10,Ohio,2486
all,2021-10,Oklahoma,649
