year,age,dead
2012,99,12012
2012,100,23963
2012,NA,147
2013,0,23440
2013,1,1657
2013,2,1015
2013,3,751
2013,4,645
2013,5,565
2013,6,501
2013,7,442
2013,8,455
2013,9,464
2013,10,426
2013,11,457
2013,12,556
2013,13,674
2013,14,800
2013,15,1046
2013,16,1353
2013,17,1840
2013,18,2384
2013,19,2857
2013,20,3272
2013,21,3681
2013,22,3909
2013,23,4092
2013,24,4052
2013,25,3963
2013,26,4156
2013,27,4290
2013,28,4293
2013,29,4354
2013,30,4607
2013,31,4723
2013,32,4822
2013,33,5064
2013,34,5191
2013,35,5261
2013,36,5279
2013,37,5442
2013,38,5739
2013,39,6100
2013,40,6742
2013,41,7454
2013,42,8666
2013,43,9219
2013,44,9671
2013,45,10346
2013,46,11586
2013,47,13111
2013,48,14808
2013,49,16982
2013,50,18589
2013,51,20534
2013,52,22221
2013,53,23975
2013,54,25572
2013,55,27573
2013,56,29471
2013,57,30563
2013,58,32235
2013,59,33139
2013,60,34448
2013,61,35541
2013,62,36704
2013,63,38167
2013,64,40286
2013,65,42834
2013,66,46718
2013,67,39259
2013,68,40999
2013,69,44699
2013,70,48719
2013,71,47166
2013,72,46689
2013,73,47625
2013,74,49721
2013,75,51510
2013,76,52797
2013,77,55857
2013,78,58553
2013,79,58597
2013,80,62727
2013,81,66288
2013,82,70458
2013,83,73284
2013,84,74942
2013,85,77990
2013,86,78487
2013,87,78724
2013,88,78244
2013,89,75813
2013,90,71379
2013,91,67102
2013,92,60918
2013,93,52360
2013,94,42428
2013,95,36053
2013,96,28479
2013,97,22371
2013,98,17439
2013,99,12422
2013,100,24989
2013,NA,132
2014,0,23215
2014,1,1456
2014,2,991
2014,3,741
2014,4,642
2014,5,533
2014,6,473
2014,7,461
2014,8,442
2014,9,448
2014,10,421
2014,11,468
2014,12,532
2014,13,680
2014,14,792
2014,15,1021
2014,16,1434
2014,17,1802
2014,18,2445
2014,19,2884
2014,20,3189
2014,21,3697
