date,count_first_shot_general,count_second_shot_general,count_third_shot_general,count_fourth_shot_general,count_fifth_shot_general,count_sixth_shot_general,count_seventh_shot_general,count_first_shot_general_wo_deceased,count_second_shot_general_wo_deceased,count_third_shot_general_wo_deceased,count_fourth_shot_general_wo_deceased,count_fifth_shot_general_wo_deceased,count_sixth_shot_general_wo_deceased,count_seventh_shot_general_wo_deceased
2021/12/10,7924,44316,43029,0,0,0,0,7709,43358,42794,0,0,0,0
2021/12/11,11024,61968,7051,0,0,0,0,10762,60869,7003,0,0,0,0
2021/12/12,4432,24919,776,0,0,0,0,4321,24435,770,0,0,0,0
2021/12/13,4689,21932,34168,0,0,0,0,4544,21339,33881,0,0,0,0
2021/12/14,7319,7753,38561,0,0,0,0,7146,7560,38248,0,0,0,0
2021/12/15,9664,22233,47843,0,0,0,0,9409,21686,47489,0,0,0,0
2021/12/16,10207,20340,52893,0,0,0,0,9945,19758,52579,0,0,0,0
2021/12/17,22950,41590,96379,0,0,0,0,22420,40698,95765,0,0,0,0
2021/12/18,35477,58903,23230,0,0,0,0,34767,57842,23060,0,0,0,0
2021/12/19,14408,22062,2612,0,0,0,0,14003,21568,2595,0,0,0,0
2021/12/20,6481,19054,57275,0,0,0,0,6269,18606,56716,0,0,0,0
2021/12/21,12478,18878,64566,0,0,0,0,12139,18390,63943,0,0,0,0
2021/12/22,12726,18811,71740,0,0,0,0,12381,18343,70809,0,0,0,0
2021/12/23,10538,16638,74775,0,0,0,0,10212,16080,73760,0,0,0,0
2021/12/24,18450,32643,116899,0,0,0,0,17918,31691,115542,0,0,0,0
2021/12/25,27965,51666,44268,0,0,0,0,27383,50733,43681,0,0,0,0
2021/12/26,11415,21421,7222,0,0,0,0,11209,21027,7006,0,0,0,0
2021/12/27,8912,16359,57821,0,0,0,0,8699,15954,56890,0,0,0,0
2021/12/28,7141,12974,72519,0,0,0,0,6915,12628,71485,0,0,0,0
2021/12/29,2926,4569,43412,0,0,0,0,2828,4446,42575,0,0,0,0
2021/12/30,941,1222,10991,0,0,0,0,909,1182,10617,0,0,0,0
2021/12/31,210,200,860,0,0,0,0,206,194,798,0,0,0,0
2022/1/1,15,24,301,0,0,0,0,15,24,281,0,0,0,0
2022/1/2,128,190,611,0,0,0,0,123,184,546,0,0,0,0
2022/1/3,116,245,827,0,0,0,0,113,239,770,0,0,0,0
2022/1/4,3282,6501,11590,0,0,0,0,3199,6333,11263,0,0,0,0
2022/1/5,5990,10491,30021,0,0,0,0,5840,10213,28999,0,0,0,0
2022/1/6,6737,10802,41933,0,0,0,0,6485,10457,40526,0,0,0,0
2022/1/7,16445,25441,108179,0,0,0,0,16048,24797,106022,0,0,0,0
2022/1/8,27173,40252,120888,0,0,0,0,26646,39369,119051,0,0,0,0
2022/1/9,10409,14199,16475,0,0,0,0,10163,13799,15922,0,0,0,0
2022/1/10,1318,2312,5506,0,0,0,0,1292,2268,5020,0,0,0,0
2022/1/11,8981,15253,93724,0,0,0,0,8726,14815,89685,0,0,0,0
2022/1/12,9150,13883,128586,0,0,0,0,8849,13511,122362,0,0,0,0
2022/1/13,8248,11187,131057,0,0,0,0,7985,10799,124706,0,0,0,0
2022/1/14,17408,20636,238486,0,0,0,0,17005,20102,231627,0,0,0,0
2022/1/15,27168,31928,181193,0,0,0,0,26651,31264,177166,0,0,0,0
