year,week,age,dead
2010,46,60,185
2010,46,65,182
2010,46,70,190
2010,46,75,273
2010,46,80,352
2010,46,85,347
2010,46,90,151
2010,47,0,8
2010,47,5,0
2010,47,10,3
2010,47,15,4
2010,47,20,9
2010,47,25,7
2010,47,30,8
2010,47,35,16
2010,47,40,24
2010,47,45,34
2010,47,50,59
2010,47,55,125
2010,47,60,188
2010,47,65,205
2010,47,70,195
2010,47,75,276
2010,47,80,374
2010,47,85,307
2010,47,90,153
2010,48,0,8
2010,48,5,0
2010,48,10,0
2010,48,15,1
2010,48,20,6
2010,48,25,5
2010,48,30,10
2010,48,35,19
2010,48,40,22
2010,48,45,35
2010,48,50,73
2010,48,55,122
2010,48,60,191
2010,48,65,209
2010,48,70,204
2010,48,75,308
2010,48,80,375
2010,48,85,333
2010,48,90,165
2010,49,0,6
2010,49,5,0
2010,49,10,1
2010,49,15,3
2010,49,20,6
2010,49,25,3
2010,49,30,8
2010,49,35,11
2010,49,40,18
2010,49,45,41
2010,49,50,61
2010,49,55,124
2010,49,60,187
2010,49,65,200
2010,49,70,221
2010,49,75,304
2010,49,80,374
2010,49,85,369
2010,49,90,164
2010,50,0,10
2010,50,5,1
2010,50,10,0
2010,50,15,4
2010,50,20,7
2010,50,25,4
2010,50,30,11
2010,50,35,11
2010,50,40,28
2010,50,45,39
2010,50,50,68
2010,50,55,118
2010,50,60,185
2010,50,65,208
2010,50,70,219
2010,50,75,278
2010,50,80,399
2010,50,85,358
2010,50,90,175
2010,51,0,6
2010,51,5,0
2010,51,10,0
2010,51,15,0
2010,51,20,4
2010,51,25,5
2010,51,30,9
2010,51,35,19
2010,51,40,18
2010,51,45,25
2010,51,50,57
2010,51,55,126
2010,51,60,190
2010,51,65,217
2010,51,70,223
2010,51,75,348
2010,51,80,389
2010,51,85,373
2010,51,90,180
2010,52,0,9
2010,52,5,1
2010,52,10,1
2010,52,15,3
2010,52,20,12
2010,52,25,6
2010,52,30,6
2010,52,35,20
2010,52,40,21
2010,52,45,47
2010,52,50,68
2010,52,55,140
2010,52,60,153
2010,52,65,211
2010,52,70,229
2010,52,75,314
2010,52,80,370
2010,52,85,368
2010,52,90,213
2011,1,0,7
2011,1,5,1
2011,1,10,1
2011,1,15,5
2011,1,20,6
2011,1,25,6
2011,1,30,15
2011,1,35,23
2011,1,40,13
2011,1,45,46
2011,1,50,70
2011,1,55,118
2011,1,60,210
2011,1,65,210
2011,1,70,259
2011,1,75,303
2011,1,80,379
2011,1,85,399
2011,1,90,178
2011,2,0,12
2011,2,5,1
2011,2,10,0
2011,2,15,3
2011,2,20,6
2011,2,25,4
2011,2,30,10
2011,2,35,11
2011,2,40,30
2011,2,45,38
2011,2,50,63
2011,2,55,120
2011,2,60,181
2011,2,65,226
2011,2,70,202
2011,2,75,288
2011,2,80,381
2011,2,85,376
2011,2,90,165
2011,3,0,10
2011,3,5,0
2011,3,10,3
2011,3,15,7
2011,3,20,9
2011,3,25,3
2011,3,30,8
2011,3,35,15
2011,3,40,33
2011,3,45,32
2011,3,50,53
2011,3,55,108
2011,3,60,200
2011,3,65,224
2011,3,70,187
2011,3,75,290
2011,3,80,402
2011,3,85,363
2011,3,90,192
2011,4,0,7
2011,4,5,1
2011,4,10,1
2011,4,15,2
2011,4,20,5
2011,4,25,5
2011,4,30,8
2011,4,35,16
2011,4,40,25
2011,4,45,46
2011,4,50,64
2011,4,55,134
2011,4,60,168
2011,4,65,207
2011,4,70,208
2011,4,75,303
2011,4,80,359
2011,4,85,362
2011,4,90,166
2011,5,0,9
2011,5,5,1
2011,5,10,4
2011,5,15,4
2011,5,20,10
2011,5,25,5
2011,5,30,13
2011,5,35,22
2011,5,40,25
2011,5,45,29
2011,5,50,78
2011,5,55,146
2011,5,60,222
2011,5,65,222
2011,5,70,259
2011,5,75,304
2011,5,80,378
2011,5,85,354
2011,5,90,189
2011,6,0,6
2011,6,5,5
2011,6,10,3
2011,6,15,5
2011,6,20,8
2011,6,25,9
2011,6,30,13
2011,6,35,19
2011,6,40,30
2011,6,45,34
2011,6,50,68
2011,6,55,107
2011,6,60,200
2011,6,65,232
2011,6,70,232
2011,6,75,326
2011,6,80,405
2011,6,85,400
2011,6,90,173
2011,7,0,4
2011,7,5,1
2011,7,10,0
2011,7,15,7
2011,7,20,3
2011,7,25,2
2011,7,30,7
2011,7,35,17
2011,7,40,27
2011,7,45,36
2011,7,50,68
2011,7,55,138
2011,7,60,208
2011,7,65,213
2011,7,70,248
2011,7,75,297
2011,7,80,426
2011,7,85,374
2011,7,90,176
2011,8,0,11
2011,8,5,2
2011,8,10,0
2011,8,15,4
2011,8,20,4
2011,8,25,8
2011,8,30,18
2011,8,35,22
2011,8,40,27
2011,8,45,35
2011,8,50,62
2011,8,55,146
2011,8,60,211
2011,8,65,239
2011,8,70,251
2011,8,75,320
2011,8,80,392
2011,8,85,371
2011,8,90,175
2011,9,0,3
2011,9,5,1
2011,9,10,1
2011,9,15,3
2011,9,20,9
2011,9,25,8
2011,9,30,15
2011,9,35,14
2011,9,40,17
2011,9,45,39
2011,9,50,91
2011,9,55,144
2011,9,60,213
2011,9,65,231
2011,9,70,202
2011,9,75,310
2011,9,80,403
2011,9,85,371
2011,9,90,180
2011,10,0,3
2011,10,5,1
2011,10,10,0
2011,10,15,6
2011,10,20,9
2011,10,25,8
2011,10,30,13
2011,10,35,15
2011,10,40,23
2011,10,45,30
2011,10,50,64
2011,10,55,136
2011,10,60,162
2011,10,65,232
2011,10,70,225
2011,10,75,288
2011,10,80,396
2011,10,85,428
2011,10,90,173
2011,11,0,10
2011,11,5,0
2011,11,10,2
2011,11,15,6
2011,11,20,9
2011,11,25,6
2011,11,30,17
2011,11,35,17
2011,11,40,23
2011,11,45,36
2011,11,50,66
2011,11,55,138
2011,11,60,222
2011,11,65,203
2011,11,70,229
2011,11,75,313
2011,11,80,419
2011,11,85,388
2011,11,90,182
2011,12,0,11
2011,12,5,0
2011,12,10,1
2011,12,15,0
2011,12,20,13
2011,12,25,4
2011,12,30,11
2011,12,35,12
2011,12,40,23
2011,12,45,46
2011,12,50,55
2011,12,55,98
2011,12,60,238
2011,12,65,202
2011,12,70,205
2011,12,75,277
2011,12,80,367
2011,12,85,372
2011,12,90,145
2011,13,0,8
2011,13,5,0
2011,13,10,0
2011,13,15,2
2011,13,20,6
2011,13,25,8
2011,13,30,14
2011,13,35,14
2011,13,40,23
2011,13,45,34
2011,13,50,67
2011,13,55,109
2011,13,60,166
2011,13,65,210
2011,13,70,213
2011,13,75,304
2011,13,80,401
2011,13,85,341
2011,13,90,176
2011,14,0,9
2011,14,5,0
2011,14,10,0
2011,14,15,2
2011,14,20,6
2011,14,25,4
2011,14,30,9
2011,14,35,15
2011,14,40,21
2011,14,45,31
2011,14,50,57
2011,14,55,100
2011,14,60,187
2011,14,65,207
2011,14,70,210
2011,14,75,289
2011,14,80,375
2011,14,85,364
2011,14,90,174
2011,15,0,6
2011,15,5,0
2011,15,10,1
2011,15,15,4
2011,15,20,2
2011,15,25,6
2011,15,30,10
2011,15,35,14
2011,15,40,22
2011,15,45,41
2011,15,50,52
2011,15,55,125
2011,15,60,176
2011,15,65,203
2011,15,70,201
2011,15,75,298
2011,15,80,370
2011,15,85,328
2011,15,90,165
2011,16,0,8
2011,16,5,0
2011,16,10,3
2011,16,15,4
2011,16,20,10
2011,16,25,7
2011,16,30,12
2011,16,35,17
2011,16,40,28
2011,16,45,33
2011,16,50,61
2011,16,55,137
2011,16,60,219
2011,16,65,201
2011,16,70,218
2011,16,75,308
2011,16,80,360
2011,16,85,368
2011,16,90,156
2011,17,0,4
2011,17,5,0
2011,17,10,1
2011,17,15,3
2011,17,20,9
2011,17,25,9
2011,17,30,9
2011,17,35,18
2011,17,40,23
2011,17,45,34
2011,17,50,56
2011,17,55,97
2011,17,60,155
2011,17,65,199
2011,17,70,230
2011,17,75,263
2011,17,80,367
2011,17,85,319
2011,17,90,161
2011,18,0,8
2011,18,5,0
2011,18,10,0
2011,18,15,1
2011,18,20,6
2011,18,25,9
2011,18,30,10
2011,18,35,10
2011,18,40,22
2011,18,45,33
2011,18,50,56
2011,18,55,100
2011,18,60,162
2011,18,65,205
2011,18,70,205
2011,18,75,251
2011,18,80,358
2011,18,85,343
2011,18,90,168
2011,19,0,9
2011,19,5,1
2011,19,10,0
2011,19,15,7
2011,19,20,5
2011,19,25,6
2011,19,30,12
2011,19,35,10
2011,19,40,25
