month_of_death,age_at_death,last_dose_number,days_between_last_vaccination_and_death,count
2022-02,0_to_20,1,<=_90,<5
2022-02,0_to_20,2,<=_180,5
2022-02,0_to_20,2,<=_30,<5
2022-02,0_to_20,2,<=_90,5
2022-02,100+,2,<=_180,<5
2022-02,100+,2,<=_365,<5
2022-02,100+,2,<=_90,<5
2022-02,100+,3,<=_30,<5
2022-02,100+,3,<=_90,7
2022-02,21_to_40,0,NA,6
2022-02,21_to_40,1,<=_180,<5
2022-02,21_to_40,1,<=_30,<5
2022-02,21_to_40,1,<=_90,5
2022-02,21_to_40,2,<=_180,25
2022-02,21_to_40,2,<=_30,<5
2022-02,21_to_40,2,<=_365,<5
2022-02,21_to_40,2,<=_90,22
2022-02,21_to_40,3,<=_180,<5
2022-02,21_to_40,3,<=_30,<5
2022-02,21_to_40,3,<=_90,7
2022-02,41_to_60,0,NA,36
2022-02,41_to_60,1,<=_180,9
2022-02,41_to_60,1,<=_30,<5
2022-02,41_to_60,1,<=_90,9
2022-02,41_to_60,2,<=_180,97
2022-02,41_to_60,2,<=_30,<5
2022-02,41_to_60,2,<=_365,13
2022-02,41_to_60,2,<=_90,34
2022-02,41_to_60,3,<=_180,5
2022-02,41_to_60,3,<=_30,44
2022-02,41_to_60,3,<=_90,37
2022-02,61_to_80,0,NA,72
2022-02,61_to_80,1,<=_180,6
2022-02,61_to_80,1,<=_30,5
2022-02,61_to_80,1,<=_365,<5
2022-02,61_to_80,1,<=_90,7
2022-02,61_to_80,2,<=_180,218
2022-02,61_to_80,2,<=_30,9
2022-02,61_to_80,2,<=_365,109
2022-02,61_to_80,2,<=_90,43
2022-02,61_to_80,3,<=_180,7
2022-02,61_to_80,3,<=_30,214
2022-02,61_to_80,3,<=_90,271
2022-02,61_to_80,4,<=_30,<5
2022-02,81_to_100,0,NA,64
2022-02,81_to_100,1,<=_180,<5
2022-02,81_to_100,1,<=_30,<5
2022-02,81_to_100,1,<=_365,<5
2022-02,81_to_100,1,<=_90,5
2022-02,81_to_100,2,<=_180,169
2022-02,81_to_100,2,<=_30,6
2022-02,81_to_100,2,<=_365,129
2022-02,81_to_100,2,<=_90,63
2022-02,81_to_100,3,<=_180,12
2022-02,81_to_100,3,<=_30,324
2022-02,81_to_100,3,<=_90,476
2022-03,0_to_20,0,NA,48
2022-03,0_to_20,2,<=_180,<5
2022-03,0_to_20,2,<=_30,<5
2022-03,0_to_20,2,<=_90,<5
2022-03,0_to_20,3,<=_30,<5
2022-03,0_to_20,3,<=_90,<5
2022-03,100+,0,NA,6
2022-03,100+,2,<=_180,<5
2022-03,100+,2,<=_365,<5
2022-03,100+,3,<=_180,7
2022-03,100+,3,<=_90,7
2022-03,21_to_40,0,NA,14
2022-03,21_to_40,1,<=_180,<5
2022-03,21_to_40,1,<=_90,<5
2022-03,21_to_40,2,<=_180,28
2022-03,21_to_40,2,<=_30,<5
2022-03,21_to_40,2,<=_365,<5
2022-03,21_to_40,2,<=_90,8
2022-03,21_to_40,3,<=_180,<5
2022-03,21_to_40,3,<=_30,10
2022-03,21_to_40,3,<=_90,13
2022-03,41_to_60,0,NA,44
2022-03,41_to_60,1,<=_180,<5
2022-03,41_to_60,1,<=_365,<5
2022-03,41_to_60,1,<=_90,<5
2022-03,41_to_60,2,<=_180,75
2022-03,41_to_60,2,<=_30,<5
2022-03,41_to_60,2,<=_365,17
2022-03,41_to_60,2,<=_90,15
2022-03,41_to_60,3,<=_180,21
2022-03,41_to_60,3,<=_30,45
2022-03,41_to_60,3,<=_90,95
2022-03,41_to_60,4,<=_30,<5
2022-03,61_to_80,0,NA,93
2022-03,61_to_80,1,<=_180,11
2022-03,61_to_80,1,<=_30,6
2022-03,61_to_80,1,<=_365,6
2022-03,61_to_80,1,<=_90,5
2022-03,61_to_80,2,<=_180,164
2022-03,61_to_80,2,<=_30,<5
2022-03,61_to_80,2,<=_365,87
2022-03,61_to_80,2,<=_90,27
2022-03,61_to_80,3,<=_180,123
2022-03,61_to_80,3,<=_30,93
2022-03,61_to_80,3,<=_90,550
2022-03,61_to_80,4,<=_30,13
2022-03,61_to_80,4,<=_90,<5
2022-03,81_to_100,0,NA,111
2022-03,81_to_100,1,<=_180,11
2022-03,81_to_100,1,<=_30,<5
2022-03,81_to_100,1,<=_365,<5
2022-03,81_to_100,1,<=_90,5
2022-03,81_to_100,2,<=_180,132
2022-03,81_to_100,2,<=_30,<5
2022-03,81_to_100,2,<=_365,108
2022-03,81_to_100,2,<=_90,44
2022-03,81_to_100,3,<=_180,227
2022-03,81_to_100,3,<=_30,123
2022-03,81_to_100,3,<=_365,<5
2022-03,81_to_100,3,<=_90,870
2022-03,81_to_100,4,<=_30,<5
2022-03,81_to_100,4,<=_90,<5
2022-04,0_to_20,0,NA,62
2022-04,0_to_20,2,<=_180,6
2022-04,0_to_20,2,<=_365,<5
2022-04,0_to_20,2,<=_90,<5
2022-04,0_to_20,3,<=_90,<5
2022-04,100+,0,NA,<5
2022-04,100+,1,<=_365,<5
2022-04,100+,2,<=_180,<5
2022-04,100+,2,<=_365,<5
2022-04,100+,3,<=_180,<5
2022-04,100+,3,<=_90,8
2022-04,21_to_40,0,NA,15
2022-04,21_to_40,1,<=_180,5
2022-04,21_to_40,1,<=_90,<5
2022-04,21_to_40,2,<=_180,27
2022-04,21_to_40,2,<=_365,5
2022-04,21_to_40,2,<=_90,<5
2022-04,21_to_40,3,<=_180,5
2022-04,21_to_40,3,<=_30,<5
2022-04,21_to_40,3,<=_90,19
2022-04,21_to_40,4,<=_90,<5
2022-04,41_to_60,0,NA,36
2022-04,41_to_60,1,<=_180,<5
