age,date,year,week,dead
75,2020-01-25,2020,4,1227
75,2020-02-01,2020,5,1248
75,2020-02-08,2020,6,1309
75,2020-02-15,2020,7,1305
75,2020-02-22,2020,8,1313
75,2020-02-29,2020,9,1292
75,2020-03-07,2020,10,1309
75,2020-03-14,2020,11,1223
75,2020-03-21,2020,12,1282
75,2020-03-28,2020,13,1366
75,2020-04-04,2020,14,1602
75,2020-04-11,2020,15,1721
75,2020-04-18,2020,16,1601
75,2020-04-25,2020,17,1567
75,2020-05-02,2020,18,1508
75,2020-05-09,2020,19,1393
75,2020-05-16,2020,20,1319
75,2020-05-23,2020,21,1295
75,2020-05-30,2020,22,1270
75,2020-06-06,2020,23,1230
75,2020-06-13,2020,24,1176
75,2020-06-20,2020,25,1308
75,2020-06-27,2020,26,1244
75,2020-07-04,2020,27,1282
75,2020-07-11,2020,28,1271
75,2020-07-18,2020,29,1341
75,2020-07-25,2020,30,1328
75,2020-08-01,2020,31,1316
75,2020-08-08,2020,32,1409
75,2020-08-15,2020,33,1330
75,2020-08-22,2020,34,1299
75,2020-08-29,2020,35,1291
75,2020-09-05,2020,36,1242
75,2020-09-12,2020,37,1256
75,2020-09-19,2020,38,1238
75,2020-09-26,2020,39,1284
75,2020-10-03,2020,40,1243
75,2020-10-10,2020,41,1311
75,2020-10-17,2020,42,1299
75,2020-10-24,2020,43,1296
75,2020-10-31,2020,44,1272
75,2020-11-07,2020,45,1444
75,2020-11-14,2020,46,1427
75,2020-11-21,2020,47,1545
75,2020-11-28,2020,48,1551
75,2020-12-05,2020,49,1652
75,2020-12-12,2020,50,1828
75,2020-12-19,2020,51,1762
75,2020-12-26,2020,52,1812
75,2021-01-02,2020,53,1958
75,2021-01-09,2021,1,1926
75,2021-01-16,2021,2,1866
75,2021-01-23,2021,3,1889
75,2021-01-30,2021,4,1678
75,2021-02-06,2021,5,1681
75,2021-02-13,2021,6,1591
75,2021-02-20,2021,7,1480
75,2021-02-27,2021,8,1414
75,2021-03-06,2021,9,1347
75,2021-03-13,2021,10,1286
75,2021-03-20,2021,11,1331
75,2021-03-27,2021,12,1295
75,2021-04-03,2021,13,1219
75,2021-04-10,2021,14,1232
75,2021-04-17,2021,15,1254
75,2021-04-24,2021,16,1261
75,2021-05-01,2021,17,1211
75,2021-05-08,2021,18,1218
75,2021-05-15,2021,19,1222
75,2021-05-22,2021,20,1263
75,2021-05-29,2021,21,1160
75,2021-06-05,2021,22,1249
75,2021-06-12,2021,23,1133
75,2021-06-19,2021,24,1217
75,2021-06-26,2021,25,1166
75,2021-07-03,2021,26,1158
75,2021-07-10,2021,27,1176
75,2021-07-17,2021,28,1147
75,2021-07-24,2021,29,1207
75,2021-07-31,2021,30,1215
75,2021-08-07,2021,31,1311
75,2021-08-14,2021,32,1410
75,2021-08-21,2021,33,1473
75,2021-08-28,2021,34,1530
75,2021-09-04,2021,35,1581
75,2021-09-11,2021,36,1619
75,2021-09-18,2021,37,1563
75,2021-09-25,2021,38,1567
75,2021-10-02,2021,39,1578
75,2021-10-09,2021,40,1624
75,2021-10-16,2021,41,1481
75,2021-10-23,2021,42,1486
75,2021-10-30,2021,43,1536
75,2021-11-06,2021,44,1545
75,2021-11-13,2021,45,1576
75,2021-11-20,2021,46,1526
75,2021-11-27,2021,47,1573
75,2021-12-04,2021,48,1599
75,2021-12-11,2021,49,1722
75,2021-12-18,2021,50,1691
75,2021-12-25,2021,51,1802
