year,month,age,dead
2003,06,60,4327
2003,06,65,5085
2003,06,70,6426
2003,06,75,7157
2003,06,80,6364
2003,06,85,4048
2003,06,90,1798
2003,06,95,409
2003,06,100,56
2003,07,1,22
2003,07,5,43
2003,07,10,48
2003,07,15,56
2003,07,20,84
2003,07,25,124
2003,07,30,217
2003,07,35,402
2003,07,40,910
2003,07,45,1719
2003,07,50,2548
2003,07,55,3579
2003,07,60,4456
2003,07,65,5284
2003,07,70,6502
2003,07,75,7264
2003,07,80,6450
2003,07,85,4232
2003,07,90,1754
2003,07,95,452
2003,07,100,55
2003,08,1,31
2003,08,5,44
2003,08,10,57
2003,08,15,60
2003,08,20,101
2003,08,25,123
2003,08,30,222
2003,08,35,420
2003,08,40,860
2003,08,45,1678
2003,08,50,2575
2003,08,55,3528
2003,08,60,4576
2003,08,65,5412
2003,08,70,6547
2003,08,75,7634
2003,08,80,6403
2003,08,85,4307
2003,08,90,1878
2003,08,95,518
2003,08,100,72
2003,09,1,33
2003,09,5,53
2003,09,10,35
2003,09,15,70
2003,09,20,75
2003,09,25,106
2003,09,30,189
2003,09,35,379
2003,09,40,868
2003,09,45,1571
2003,09,50,2524
2003,09,55,3521
2003,09,60,4325
2003,09,65,5114
2003,09,70,6369
2003,09,75,7132
2003,09,80,6396
2003,09,85,4272
2003,09,90,1825
2003,09,95,474
2003,09,100,61
2003,10,1,22
2003,10,5,36
2003,10,10,48
2003,10,15,56
2003,10,20,81
2003,10,25,116
2003,10,30,228
2003,10,35,436
2003,10,40,923
2003,10,45,1686
2003,10,50,2648
2003,10,55,3604
2003,10,60,4636
2003,10,65,5510
2003,10,70,6565
2003,10,75,7660
2003,10,80,6834
2003,10,85,4310
2003,10,90,1976
2003,10,95,562
2003,10,100,59
2003,11,1,35
2003,11,5,37
2003,11,10,49
2003,11,15,57
2003,11,20,76
2003,11,25,108
2003,11,30,191
2003,11,35,414
2003,11,40,898
2003,11,45,1556
2003,11,50,2495
2003,11,55,3465
2003,11,60,4409
2003,11,65,5299
2003,11,70,6364
2003,11,75,7282
2003,11,80,6728
2003,11,85,4148
2003,11,90,1925
2003,11,95,515
2003,11,100,83
2003,12,1,46
2003,12,5,45
2003,12,10,44
2003,12,15,65
2003,12,20,82
2003,12,25,108
2003,12,30,201
2003,12,35,385
2003,12,40,944
2003,12,45,1666
2003,12,50,2555
2003,12,55,3682
2003,12,60,4635
2003,12,65,5554
2003,12,70,6891
2003,12,75,7812
2003,12,80,6944
2003,12,85,4687
2003,12,90,2091
2003,12,95,544
2003,12,100,64
2004,01,1,26
2004,01,5,49
2004,01,10,39
2004,01,15,66
2004,01,20,80
2004,01,25,118
2004,01,30,213
2004,01,35,414
2004,01,40,866
2004,01,45,1613
2004,01,50,2629
2004,01,55,3631
2004,01,60,4727
