year,month,region,dead,born
2018,11,West,324,74015
2018,12,Midwest,394,64087
2018,12,Northeast,215,48764
2018,12,South,807,124439
2018,12,West,323,73476
2019,1,Midwest,347,63550
2019,1,Northeast,219,48898
2019,1,South,787,124945
2019,1,West,353,73479
2019,2,Midwest,378,58795
2019,2,Northeast,232,44030
2019,2,South,702,109947
2019,2,West,323,67191
2019,3,Midwest,391,64015
2019,3,Northeast,267,48571
2019,3,South,809,117782
2019,3,West,371,73869
2019,4,Midwest,424,63670
2019,4,Northeast,229,48585
2019,4,South,779,116273
2019,4,West,302,70419
2019,5,Midwest,445,67646
2019,5,Northeast,240,50807
2019,5,South,769,122995
2019,5,West,346,74938
2019,6,Midwest,429,65411
2019,6,Northeast,222,49888
2019,6,South,772,116521
2019,6,West,360,72272
2019,7,Midwest,399,70874
2019,7,Northeast,225,53570
2019,7,South,792,130326
2019,7,West,352,78876
2019,8,Midwest,394,71845
2019,8,Northeast,236,54477
2019,8,South,805,135339
2019,8,West,343,80024
2019,9,Midwest,391,67305
2019,9,Northeast,210,51970
2019,9,South,792,130110
2019,9,West,327,76396
2019,10,Midwest,388,67261
2019,10,Northeast,209,51443
2019,10,South,777,129657
2019,10,West,323,76682
2019,11,Midwest,350,61247
2019,11,Northeast,240,47311
2019,11,South,776,118871
2019,11,West,334,70657
2019,12,Midwest,381,62841
2019,12,Northeast,225,48333
2019,12,South,799,125771
2019,12,West,357,71857
2020,1,Midwest,415,62395
2020,1,Northeast,244,48334
2020,1,South,778,122801
2020,1,West,340,71192
2020,2,Midwest,352,59297
2020,2,Northeast,229,44923
2020,2,South,756,111771
2020,2,West,336,66663
2020,3,Midwest,391,63480
2020,3,Northeast,217,48473
2020,3,South,721,118596
2020,3,West,317,71076
2020,4,Midwest,378,61188
2020,4,Northeast,200,46810
2020,4,South,693,113822
2020,4,West,298,68658
2020,5,Midwest,424,64805
2020,5,Northeast,209,49456
2020,5,South,746,116469
2020,5,West,313,70751
2020,6,Midwest,389,64158
2020,6,Northeast,201,49884
2020,6,South,753,117934
2020,6,West,321,70188
2020,7,Midwest,385,67929
2020,7,Northeast,223,52066
2020,7,South,733,126110
2020,7,West,308,75532
2020,8,Midwest,355,67026
2020,8,Northeast,199,50625
2020,8,South,747,127488
2020,8,West,320,74482
2020,9,Midwest,371,64287
2020,9,Northeast,201,49493
2020,9,South,733,125265
2020,9,West,297,72660
2020,10,Midwest,372,62667
2020,10,Northeast,237,48015
2020,10,South,674,122375
2020,10,West,304,72028
2020,11,Midwest,351,57539
2020,11,Northeast,183,44614
2020,11,South,735,114161
2020,11,West,290,66283
2020,12,Midwest,334,59530
2020,12,Northeast,218,43744
2020,12,South,697,119547
2020,12,West,294,67057
2021,1,Midwest,373,57095
2021,1,Northeast,215,42682
2021,1,South,758,112651
2021,1,West,324,64744
2021,2,Midwest,352,55512
2021,2,Northeast,188,42417
2021,2,South,653,106904
2021,2,West,289,61522
2021,3,Midwest,379,63441
2021,3,Northeast,213,49233
2021,3,South,748,119518
2021,3,West,320,70500
2021,4,Midwest,371,62002
2021,4,Northeast,204,48607
2021,4,South,797,113665
2021,4,West,281,68934
2021,5,Midwest,421,64021
2021,5,Northeast,193,49811
2021,5,South,792,116287
2021,5,West,303,70793
2021,6,Midwest,347,67276
2021,6,Northeast,193,51838
2021,6,South,774,122547
2021,6,West,296,71936
2021,7,Midwest,389,68800
2021,7,Northeast,214,53546
2021,7,South,768,128850
2021,7,West,317,74921
2021,8,Midwest,365,67747
2021,8,Northeast,225,53211
2021,8,South,742,132023
2021,8,West,370,77290
2021,9,Midwest,383,66459
2021,9,Northeast,209,51943
2021,9,South,793,132127
2021,9,West,335,75209
2021,10,Midwest,370,64159
2021,10,Northeast,227,50585
2021,10,South,789,126776
2021,10,West,331,73894
2021,11,Midwest,336,61097
2021,11,Northeast,219,47914
2021,11,South,731,122225
2021,11,West,303,70494
2021,12,Midwest,366,62586
2021,12,Northeast,214,48360
2021,12,South,791,127408
2021,12,West,349,72732
2022,1,Midwest,355,58544
2022,1,Northeast,224,46150
2022,1,South,791,121228
2022,1,West,304,68921
2022,2,Midwest,342,55751
2022,2,Northeast,173,43549
2022,2,South,680,112111
2022,2,West,313,64316
2022,3,Midwest,389,63215
2022,3,Northeast,225,48733
2022,3,South,750,123893
2022,3,West,318,71618
2022,4,Midwest,352,59840
2022,4,Northeast,177,47093
2022,4,South,784,114728
2022,4,West,309,66999
2022,5,Midwest,389,62405
2022,5,Northeast,203,48615
2022,5,South,808,116966
2022,5,West,335,69590
2022,6,Midwest,419,64081
2022,6,Northeast,198,49523
2022,6,South,776,122093
2022,6,West,352,70062
2022,7,Midwest,431,65494
2022,7,Northeast,237,51980
2022,7,South,806,128862
2022,7,West,297,74486
2022,8,Midwest,398,67950
2022,8,Northeast,226,52671
2022,8,South,841,138992
2022,8,West,344,76299
2022,9,Midwest,356,63174
2022,9,Northeast,219,49262
2022,9,South,834,127386
2022,9,West,315,72411
2022,10,Midwest,394,62116
2022,10,Northeast,222,49207
2022,10,South,849,124192
2022,10,West,345,71290
2022,11,Midwest,402,61744
2022,11,Northeast,227,48579
2022,11,South,794,126436
2022,11,West,296,70389
2022,12,Midwest,392,63306
2022,12,Northeast,232,49228
2022,12,South,797,130717
2022,12,West,333,71563
2023,1,Midwest,395,60382
2023,1,Northeast,252,46380
2023,1,South,789,124597
2023,1,West,317,68106
2023,2,Midwest,309,55324
2023,2,Northeast,221,42453
2023,2,South,706,110796
2023,2,West,281,62272
2023,3,Midwest,380,62472
2023,3,Northeast,199,47746
2023,3,South,861,120800
2023,3,West,355,68337
2023,4,Midwest,380,58123
2023,4,Northeast,170,44982
2023,4,South,774,111147
2023,4,West,332,64378
2023,5,Midwest,344,62054
2023,5,Northeast,193,48561
2023,5,South,831,120862
2023,5,West,307,68068
2023,6,Midwest,383,63026
2023,6,Northeast,192,49143
2023,6,South,776,123141
2023,6,West,319,68012
2023,7,Midwest,366,64352
2023,7,Northeast,206,50174
2023,7,South,792,126544
2023,7,West,309,70527
