age,type,year,month,dead
25-54,mcd,2015,08,89
25-54,mcd,2015,09,76
25-54,mcd,2015,10,74
25-54,mcd,2015,11,90
25-54,mcd,2015,12,77
25-54,mcd,2016,01,70
25-54,mcd,2016,02,84
25-54,mcd,2016,03,82
25-54,mcd,2016,04,71
25-54,mcd,2016,05,89
25-54,mcd,2016,06,88
25-54,mcd,2016,07,81
25-54,mcd,2016,08,82
25-54,mcd,2016,09,72
25-54,mcd,2016,10,72
25-54,mcd,2016,11,83
25-54,mcd,2016,12,87
25-54,mcd,2017,01,93
25-54,mcd,2017,02,81
25-54,mcd,2017,03,107
25-54,mcd,2017,04,96
25-54,mcd,2017,05,100
25-54,mcd,2017,06,73
25-54,mcd,2017,07,83
25-54,mcd,2017,08,97
25-54,mcd,2017,09,79
25-54,mcd,2017,10,102
25-54,mcd,2017,11,80
25-54,mcd,2017,12,107
25-54,mcd,2018,01,102
25-54,mcd,2018,02,92
25-54,mcd,2018,03,102
25-54,mcd,2018,04,72
25-54,mcd,2018,05,84
25-54,mcd,2018,06,85
25-54,mcd,2018,07,92
25-54,mcd,2018,08,91
25-54,mcd,2018,09,94
25-54,mcd,2018,10,88
25-54,mcd,2018,11,95
25-54,mcd,2018,12,102
25-54,mcd,2019,01,118
25-54,mcd,2019,02,87
25-54,mcd,2019,03,86
25-54,mcd,2019,04,92
25-54,mcd,2019,05,95
25-54,mcd,2019,06,73
25-54,mcd,2019,07,78
25-54,mcd,2019,08,99
25-54,mcd,2019,09,93
25-54,mcd,2019,10,85
25-54,mcd,2019,11,88
25-54,mcd,2019,12,110
25-54,mcd,2020,01,100
25-54,mcd,2020,02,80
25-54,mcd,2020,03,110
25-54,mcd,2020,04,110
25-54,mcd,2020,05,120
25-54,mcd,2020,06,118
25-54,mcd,2020,07,125
25-54,mcd,2020,08,94
25-54,mcd,2020,09,127
25-54,mcd,2020,10,128
25-54,mcd,2020,11,119
25-54,mcd,2020,12,141
25-54,mcd,2021,01,160
25-54,mcd,2021,02,131
25-54,mcd,2021,03,137
25-54,mcd,2021,04,136
25-54,mcd,2021,05,131
25-54,mcd,2021,06,127
25-54,mcd,2021,07,114
25-54,mcd,2021,08,174
25-54,mcd,2021,09,220
25-54,mcd,2021,10,177
25-54,mcd,2021,11,140
25-54,mcd,2021,12,152
25-54,mcd,2022,01,171
25-54,mcd,2022,02,148
25-54,mcd,2022,03,154
25-54,mcd,2022,04,122
25-54,mcd,2022,05,133
25-54,mcd,2022,06,121
25-54,mcd,2022,07,145
25-54,mcd,2022,08,127
25-54,mcd,2022,09,153
25-54,mcd,2022,10,129
25-54,mcd,2022,11,120
25-54,mcd,2022,12,116
25-54,mcd,2023,01,144
25-54,mcd,2023,02,101
25-54,mcd,2023,03,134
25-54,mcd,2023,04,139
25-54,mcd,2023,05,109
25-54,mcd,2023,06,144
25-54,mcd,2023,07,108
25-54,mcd,2023,08,123
25-54,mcd,2023,09,109
25-54,mcd,2023,10,119
25-54,mcd,2023,11,118
25-54,mcd,2023,12,155
25-54,mcd,2024,01,151
25-54,mcd,2024,02,118
25-54,mcd,2024,03,133
25-54,mcd,2024,04,134
25-54,mcd,2024,05,105
25-54,mcd,2024,06,130
25-54,mcd,2024,07,111
25-54,mcd,2024,08,117
25-54,mcd,2024,09,107
25-54,mcd,2024,10,119
25-54,mcd,2024,11,125
25-54,mcd,2024,12,93
25-54,and,2020,05,15
25-54,and,2020,07,14
25-54,and,2020,09,15
25-54,and,2020,10,11
25-54,and,2020,11,13
25-54,and,2020,12,24
25-54,and,2021,01,42
25-54,and,2021,02,29
25-54,and,2021,03,19
25-54,and,2021,04,13
25-54,and,2021,05,11
25-54,and,2021,07,10
25-54,and,2021,08,57
25-54,and,2021,09,79
25-54,and,2021,10,41
25-54,and,2021,11,19
25-54,and,2021,12,28
25-54,and,2022,01,57
25-54,and,2022,02,40
25-54,and,2022,03,18
