group,date,age,dead
top17,2022-01,40,246
top17,2022-01,45,384
top17,2022-01,50,765
top17,2022-01,55,1464
top17,2022-01,60,2369
top17,2022-01,65,3133
top17,2022-01,70,3769
top17,2022-01,75,3691
top17,2022-01,80,3485
top17,2022-01,85,2838
top17,2022-01,90,1742
top17,2022-01,95,585
top17,2022-01,100,95
top17,2022-02,5,10
top17,2022-02,10,21
top17,2022-02,15,14
top17,2022-02,20,29
top17,2022-02,25,42
top17,2022-02,30,67
top17,2022-02,35,159
top17,2022-02,40,200
top17,2022-02,45,337
top17,2022-02,50,722
top17,2022-02,55,1303
top17,2022-02,60,2119
top17,2022-02,65,2790
top17,2022-02,70,3200
top17,2022-02,75,3149
top17,2022-02,80,2821
top17,2022-02,85,2271
top17,2022-02,90,1415
top17,2022-02,95,491
top17,2022-02,100,76
top17,2022-03,1,12
top17,2022-03,5,14
top17,2022-03,10,14
top17,2022-03,15,23
top17,2022-03,20,26
top17,2022-03,25,43
top17,2022-03,30,72
top17,2022-03,35,165
top17,2022-03,40,207
top17,2022-03,45,370
top17,2022-03,50,726
top17,2022-03,55,1391
top17,2022-03,60,2274
top17,2022-03,65,2882
top17,2022-03,70,3435
top17,2022-03,75,3304
top17,2022-03,80,2977
top17,2022-03,85,2479
top17,2022-03,90,1457
top17,2022-03,95,477
top17,2022-03,100,80
top17,2022-04,5,14
top17,2022-04,10,12
top17,2022-04,15,21
top17,2022-04,20,23
top17,2022-04,25,38
top17,2022-04,30,75
top17,2022-04,35,140
top17,2022-04,40,238
top17,2022-04,45,350
top17,2022-04,50,705
top17,2022-04,55,1244
top17,2022-04,60,2204
top17,2022-04,65,2763
top17,2022-04,70,3171
top17,2022-04,75,3265
top17,2022-04,80,2910
top17,2022-04,85,2297
top17,2022-04,90,1454
top17,2022-04,95,471
top17,2022-04,100,90
top17,2022-05,1,11
top17,2022-05,5,15
top17,2022-05,10,11
top17,2022-05,15,21
top17,2022-05,20,24
top17,2022-05,25,42
