type,date,dead
ucd_covid,2021-12-25,9461
ucd_covid,2022-01-01,10485
ucd_covid,2022-01-08,13255
ucd_covid,2022-01-15,16604
ucd_covid,2022-01-22,18387
ucd_covid,2022-01-29,17998
ucd_covid,2022-02-05,15772
ucd_covid,2022-02-12,12669
ucd_covid,2022-02-19,9326
ucd_covid,2022-02-26,6498
ucd_covid,2022-03-05,4605
ucd_covid,2022-03-12,3211
ucd_covid,2022-03-19,2105
ucd_covid,2022-03-26,1631
ucd_covid,2022-04-02,1146
ucd_covid,2022-04-09,903
ucd_covid,2022-04-16,807
ucd_covid,2022-04-23,786
ucd_covid,2022-04-30,844
ucd_covid,2022-05-07,865
ucd_covid,2022-05-14,1046
ucd_covid,2022-05-21,1080
ucd_covid,2022-05-28,1291
ucd_covid,2022-06-04,1305
ucd_covid,2022-06-11,1401
ucd_covid,2022-06-18,1423
ucd_covid,2022-06-25,1516
ucd_covid,2022-07-02,1583
ucd_covid,2022-07-09,1713
ucd_covid,2022-07-16,1994
ucd_covid,2022-07-23,2133
ucd_covid,2022-07-30,2277
ucd_covid,2022-08-06,2259
ucd_covid,2022-08-13,2209
ucd_covid,2022-08-20,2131
ucd_covid,2022-08-27,1954
ucd_covid,2022-09-03,1884
ucd_covid,2022-09-10,1772
ucd_covid,2022-09-17,1590
ucd_covid,2022-09-24,1593
ucd_covid,2022-10-01,1523
ucd_covid,2022-10-08,1344
ucd_covid,2022-10-15,1347
ucd_covid,2022-10-22,1376
ucd_covid,2022-10-29,1394
ucd_covid,2022-11-05,1415
ucd_covid,2022-11-12,1378
ucd_covid,2022-11-19,1445
ucd_covid,2022-11-26,1610
ucd_covid,2022-12-03,1658
ucd_covid,2022-12-10,2072
ucd_covid,2022-12-17,2187
ucd_covid,2022-12-24,2235
ucd_covid,2022-12-31,2493
ucd_covid,2023-01-07,2706
ucd_covid,2023-01-14,2553
ucd_covid,2023-01-21,2125
ucd_covid,2023-01-28,1906
ucd_covid,2023-02-04,1662
ucd_covid,2023-02-11,1559
ucd_covid,2023-02-18,1353
ucd_covid,2023-02-25,1392
ucd_covid,2023-03-04,1297
ucd_covid,2023-03-11,1163
ucd_covid,2023-03-18,1085
ucd_covid,2023-03-25,1083
ucd_covid,2023-04-01,902
ucd_covid,2023-04-08,832
ucd_covid,2023-04-15,754
ucd_covid,2023-04-22,737
ucd_covid,2023-04-29,636
ucd_covid,2023-05-06,571
ucd_covid,2023-05-13,497
ucd_covid,2023-05-20,451
ucd_covid,2023-05-27,448
ucd_covid,2023-06-03,405
ucd_covid,2023-06-10,376
ucd_covid,2023-06-17,357
ucd_covid,2023-06-24,347
ucd_covid,2023-07-01,335
ucd_covid,2023-07-08,292
ucd_covid,2023-07-15,319
ucd_covid,2023-07-22,331
ucd_covid,2023-07-29,345
ucd_covid,2023-08-05,452
ucd_covid,2023-08-12,505
ucd_covid,2023-08-19,606
ucd_covid,2023-08-26,738
ucd_covid,2023-09-02,811
ucd_covid,2023-09-09,913
ucd_covid,2023-09-16,1014
ucd_covid,2023-09-23,994
ucd_covid,2023-09-30,1022
ucd_covid,2023-10-07,953
ucd_covid,2023-10-14,879
ucd_covid,2023-10-21,912
ucd_covid,2023-10-28,838
ucd_covid,2023-11-04,821
ucd_covid,2023-11-11,924
ucd_covid,2023-11-18,973
ucd_covid,2023-11-25,969
ucd_covid,2023-12-02,1168
ucd_covid,2023-12-09,1216
ucd_covid,2023-12-16,1282
ucd_covid,2023-12-23,1315
ucd_covid,2023-12-30,1572
ucd_covid,2024-01-06,1704
ucd_covid,2024-01-13,1822
ucd_covid,2024-01-20,1627
ucd_covid,2024-01-27,1440
ucd_covid,2024-02-03,1157
ucd_covid,2024-02-10,1080
ucd_covid,2024-02-17,895
ucd_covid,2024-02-24,874
ucd_covid,2024-03-02,818
ucd_covid,2024-03-09,701
ucd_covid,2024-03-16,632
ucd_covid,2024-03-23,530
ucd_covid,2024-03-30,466
ucd_covid,2024-04-06,384
ucd_covid,2024-04-13,339
ucd_covid,2024-04-20,294
ucd_covid,2024-04-27,243
ucd_covid,2024-05-04,239
ucd_covid,2024-05-11,204
ucd_covid,2024-05-18,194
ucd_covid,2024-05-25,204
ucd_covid,2024-06-01,209
ucd_covid,2024-06-08,201
ucd_covid,2024-06-15,257
ucd_covid,2024-06-22,275
ucd_covid,2024-06-29,280
ucd_covid,2024-07-06,353
ucd_covid,2024-07-13,414
ucd_covid,2024-07-20,504
ucd_covid,2024-07-27,603
ucd_covid,2024-08-03,664
ucd_covid,2024-08-10,758
ucd_covid,2024-08-17,757
ucd_covid,2024-08-24,849
ucd_covid,2024-08-31,916
ucd_covid,2024-09-07,826
ucd_covid,2024-09-14,825
ucd_covid,2024-09-21,755
ucd_covid,2024-09-28,669
ucd_covid,2024-10-05,638
ucd_covid,2024-10-12,547
ucd_covid,2024-10-19,493
ucd_covid,2024-10-26,410
ucd_covid,2024-11-02,381
ucd_covid,2024-11-09,356
ucd_covid,2024-11-16,344
ucd_covid,2024-11-23,299
ucd_covid,2024-11-30,311
ucd_covid,2024-12-07,287
ucd_covid,2024-12-14,374
ucd_covid,2024-12-21,389
ucd_covid,2024-12-28,447
ucd_covid,2025-01-04,612
ucd_covid,2025-01-11,677
ucd_covid,2025-01-18,612
ucd_covid,2025-01-25,506
ucd_covid,2025-02-01,362
mcd_cancer_and_mcd_covid,2020-03-21,35
mcd_cancer_and_mcd_covid,2020-03-28,157
mcd_cancer_and_mcd_covid,2020-04-04,404
mcd_cancer_and_mcd_covid,2020-04-11,643
mcd_cancer_and_mcd_covid,2020-04-18,646
mcd_cancer_and_mcd_covid,2020-04-25,594
mcd_cancer_and_mcd_covid,2020-05-02,521
mcd_cancer_and_mcd_covid,2020-05-09,506
mcd_cancer_and_mcd_covid,2020-05-16,406
mcd_cancer_and_mcd_covid,2020-05-23,344
mcd_cancer_and_mcd_covid,2020-05-30,306
mcd_cancer_and_mcd_covid,2020-06-06,234
mcd_cancer_and_mcd_covid,2020-06-13,226
mcd_cancer_and_mcd_covid,2020-06-20,178
mcd_cancer_and_mcd_covid,2020-06-27,193
mcd_cancer_and_mcd_covid,2020-07-04,236
mcd_cancer_and_mcd_covid,2020-07-11,260
mcd_cancer_and_mcd_covid,2020-07-18,343
mcd_cancer_and_mcd_covid,2020-07-25,394
mcd_cancer_and_mcd_covid,2020-08-01,382
mcd_cancer_and_mcd_covid,2020-08-08,371
