cause,date,dead
UCD,2021-02,817
UCD,2021-03,881
UCD,2021-04,786
UCD,2021-05,816
UCD,2021-06,798
UCD,2021-07,779
UCD,2021-08,873
UCD,2021-09,913
UCD,2021-10,912
UCD,2021-11,890
UCD,2021-12,920
UCD,2022-01,1047
UCD,2022-02,923
UCD,2022-03,922
UCD,2022-04,891
UCD,2022-05,823
UCD,2022-06,835
UCD,2022-07,918
UCD,2022-08,875
UCD,2022-09,913
UCD,2022-10,864
UCD,2022-11,873
UCD,2022-12,967
UCD,2023-01,918
UCD,2023-02,810
UCD,2023-03,900
UCD,2023-04,844
UCD,2023-05,830
UCD,2023-06,754
UCD,2023-07,797
UCD,2023-08,812
UCD,2023-09,817
UCD,2023-10,826
UCD,2023-11,812
UCD,2023-12,929
UCD,2024-01,959
UCD,2024-02,808
UCD,2024-03,787
UCD,2024-04,770
UCD,2024-05,745
UCD,2024-06,756
UCD,2024-07,747
UCD,2024-08,723
UCD,2024-09,645
UCD,2024-10,158
