type,cause,year,month,dead
mcd,D80-D89,2015,11,322
mcd,D80-D89,2015,12,345
mcd,D80-D89,2016,1,342
mcd,D80-D89,2016,2,337
mcd,D80-D89,2016,3,359
mcd,D80-D89,2016,4,347
mcd,D80-D89,2016,5,332
mcd,D80-D89,2016,6,281
mcd,D80-D89,2016,7,316
mcd,D80-D89,2016,8,285
mcd,D80-D89,2016,9,304
mcd,D80-D89,2016,10,318
mcd,D80-D89,2016,11,322
mcd,D80-D89,2016,12,366
mcd,D80-D89,2017,1,372
mcd,D80-D89,2017,2,345
mcd,D80-D89,2017,3,370
mcd,D80-D89,2017,4,304
mcd,D80-D89,2017,5,348
mcd,D80-D89,2017,6,311
mcd,D80-D89,2017,7,329
mcd,D80-D89,2017,8,329
mcd,D80-D89,2017,9,319
mcd,D80-D89,2017,10,341
mcd,D80-D89,2017,11,322
mcd,D80-D89,2017,12,402
mcd,D80-D89,2018,1,450
mcd,D80-D89,2018,2,374
mcd,D80-D89,2018,3,400
mcd,D80-D89,2018,4,352
mcd,D80-D89,2018,5,372
mcd,D80-D89,2018,6,305
mcd,D80-D89,2018,7,314
mcd,D80-D89,2018,8,349
mcd,D80-D89,2018,9,314
mcd,D80-D89,2018,10,329
mcd,D80-D89,2018,11,375
mcd,D80-D89,2018,12,368
mcd,D80-D89,2019,1,365
mcd,D80-D89,2019,2,340
mcd,D80-D89,2019,3,405
mcd,D80-D89,2019,4,366
mcd,D80-D89,2019,5,383
mcd,D80-D89,2019,6,317
mcd,D80-D89,2019,7,379
mcd,D80-D89,2019,8,328
mcd,D80-D89,2019,9,383
mcd,D80-D89,2019,10,355
mcd,D80-D89,2019,11,392
mcd,D80-D89,2019,12,427
mcd,D80-D89,2020,1,419
mcd,D80-D89,2020,2,366
mcd,D80-D89,2020,3,482
mcd,D80-D89,2020,4,518
mcd,D80-D89,2020,5,398
mcd,D80-D89,2020,6,399
mcd,D80-D89,2020,7,416
mcd,D80-D89,2020,8,455
mcd,D80-D89,2020,9,387
mcd,D80-D89,2020,10,416
mcd,D80-D89,2020,11,518
mcd,D80-D89,2020,12,649
mcd,D80-D89,2021,1,618
mcd,D80-D89,2021,2,479
mcd,D80-D89,2021,3,435
mcd,D80-D89,2021,4,456
mcd,D80-D89,2021,5,423
mcd,D80-D89,2021,6,434
mcd,D80-D89,2021,7,434
mcd,D80-D89,2021,8,621
mcd,D80-D89,2021,9,651
mcd,D80-D89,2021,10,573
mcd,D80-D89,2021,11,551
mcd,D80-D89,2021,12,635
mcd,D80-D89,2022,1,793
mcd,D80-D89,2022,2,660
mcd,D80-D89,2022,3,529
mcd,D80-D89,2022,4,478
mcd,D80-D89,2022,5,485
mcd,D80-D89,2022,6,440
mcd,D80-D89,2022,7,447
mcd,D80-D89,2022,8,494
mcd,D80-D89,2022,9,536
mcd,D80-D89,2022,10,512
mcd,D80-D89,2022,11,547
mcd,D80-D89,2022,12,598
mcd,D80-D89,2023,1,589
mcd,D80-D89,2023,2,491
mcd,D80-D89,2023,3,537
mcd,D80-D89,2023,4,483
mcd,D80-D89,2023,5,511
mcd,D80-D89,2023,6,466
mcd,D80-D89,2023,7,517
mcd,D80-D89,2023,8,523
mcd,D80-D89,2023,9,464
mcd,D80-D89,2023,10,548
mcd,D80-D89,2023,11,561
mcd,D80-D89,2023,12,606
mcd,D80-D89,2024,1,663
mcd,D80-D89,2024,2,526
mcd,D80-D89,2024,3,570
mcd,D80-D89,2024,4,535
mcd,D80-D89,2024,5,505
mcd,D80-D89,2024,6,476
mcd,D80-D89,2024,7,508
mcd,D80-D89,2024,8,538
mcd,D80-D89,2024,9,522
mcd,D80-D89,2024,10,523
mcd,D80-D89,2024,11,382
and,D80-D89,2020,3,29
and,D80-D89,2020,4,119
and,D80-D89,2020,5,67
and,D80-D89,2020,6,41
and,D80-D89,2020,7,68
and,D80-D89,2020,8,64
and,D80-D89,2020,9,47
and,D80-D89,2020,10,57
and,D80-D89,2020,11,110
and,D80-D89,2020,12,239
and,D80-D89,2021,1,246
and,D80-D89,2021,2,138
and,D80-D89,2021,3,77
and,D80-D89,2021,4,69
and,D80-D89,2021,5,74
and,D80-D89,2021,6,39
and,D80-D89,2021,7,39
and,D80-D89,2021,8,198
and,D80-D89,2021,9,249
and,D80-D89,2021,10,163
and,D80-D89,2021,11,119
and,D80-D89,2021,12,185
and,D80-D89,2022,1,337
and,D80-D89,2022,2,290
and,D80-D89,2022,3,94
and,D80-D89,2022,4,44
and,D80-D89,2022,5,33
