date,age,dead,pop
2011-12,55,3174,8236708
2011-12,60,6555,10616326
2011-12,65,7392,7869989
2011-12,70,10450,7227015
2011-12,75,15538,6168578
2011-12,80,21014,4520388
2011-12,85,21511,2659384
2011-12,90,15645,1094065
2011-12,95,7674,321110
2011-12,100,1902,47956
2012-01,0,264,5299048
2012-01,5,34,5461184
2012-01,10,46,5902586
2012-01,15,96,6065180
2012-01,20,192,6343013
2012-01,25,272,7168091
2012-01,30,363,8005161
2012-01,35,619,9634242
2012-01,40,917,9391054
2012-01,45,1268,7998063
2012-01,50,1904,7639750
2012-01,55,3108,8203289
2012-01,60,6396,10595875
2012-01,65,7476,7886940
2012-01,70,10638,7245591
2012-01,75,16200,6178714
2012-01,80,21574,4531663
2012-01,85,22924,2673052
2012-01,90,16985,1099327
2012-01,95,8320,322521
2012-01,100,1966,48322
2012-02,0,266,5297004
2012-02,5,52,5453406
2012-02,10,44,5899437
2012-02,15,100,6062464
2012-02,20,195,6334759
2012-02,25,235,7153570
2012-02,30,331,7982032
2012-02,35,591,9610429
2012-02,40,867,9404911
2012-02,45,1147,8017078
2012-02,50,1799,7642092
2012-02,55,2939,8170535
2012-02,60,6065,10568614
2012-02,65,6935,7910397
2012-02,70,9848,7264408
2012-02,75,14926,6188588
2012-02,80,20347,4543118
2012-02,85,21537,2686448
2012-02,90,16050,1104715
2012-02,95,7880,323793
2012-02,100,1969,48675
2012-03,0,290,5294775
2012-03,5,47,5446422
2012-03,10,38,5896294
2012-03,15,97,6060059
2012-03,20,259,6326933
2012-03,25,293,7140090
2012-03,30,366,7961258
2012-03,35,611,9587720
2012-03,40,887,9415490
2012-03,45,1217,8037653
2012-03,50,1843,7645005
2012-03,55,2930,8140539
2012-03,60,5960,10537766
2012-03,65,6873,7937488
2012-03,70,9730,7282093
2012-03,75,14561,6197585
2012-03,80,19603,4553976
2012-03,85,20854,2698762
2012-03,90,15123,1109845
2012-03,95,7546,324878
2012-03,100,1804,48994
2012-04,0,300,5292082
2012-04,5,36,5439284
2012-04,10,39,5892703
