type,cause,year,month,dead
mcd,C00-C97,2024,02,56547
mcd,C00-C97,2024,03,59429
mcd,C00-C97,2024,04,56761
mcd,C00-C97,2024,05,58014
mcd,C00-C97,2024,06,56528
mcd,C00-C97,2024,07,58616
mcd,C00-C97,2024,08,59388
mcd,C00-C97,2024,09,57200
mcd,C00-C97,2024,10,58692
mcd,C00-C97,2024,11,47788
and,C00-C97,2020,03,313
and,C00-C97,2020,04,2411
and,C00-C97,2020,05,1612
and,C00-C97,2020,06,864
and,C00-C97,2020,07,1366
and,C00-C97,2020,08,1277
and,C00-C97,2020,09,912
and,C00-C97,2020,10,1180
and,C00-C97,2020,11,2716
and,C00-C97,2020,12,4740
and,C00-C97,2021,01,5032
and,C00-C97,2021,02,2669
and,C00-C97,2021,03,1416
and,C00-C97,2021,04,1215
and,C00-C97,2021,05,982
and,C00-C97,2021,06,561
and,C00-C97,2021,07,628
and,C00-C97,2021,08,1989
and,C00-C97,2021,09,2649
and,C00-C97,2021,10,2021
and,C00-C97,2021,11,1746
and,C00-C97,2021,12,2405
and,C00-C97,2022,01,5995
and,C00-C97,2022,02,4547
and,C00-C97,2022,03,1745
and,C00-C97,2022,04,834
and,C00-C97,2022,05,993
and,C00-C97,2022,06,1203
and,C00-C97,2022,07,1660
and,C00-C97,2022,08,1789
and,C00-C97,2022,09,1437
and,C00-C97,2022,10,1261
and,C00-C97,2022,11,1260
and,C00-C97,2022,12,1655
and,C00-C97,2023,01,1768
and,C00-C97,2023,02,1152
and,C00-C97,2023,03,978
and,C00-C97,2023,04,686
and,C00-C97,2023,05,514
and,C00-C97,2023,06,369
and,C00-C97,2023,07,327
and,C00-C97,2023,08,456
and,C00-C97,2023,09,752
and,C00-C97,2023,10,698
and,C00-C97,2023,11,758
and,C00-C97,2023,12,987
and,C00-C97,2024,01,1230
and,C00-C97,2024,02,774
and,C00-C97,2024,03,514
and,C00-C97,2024,04,286
and,C00-C97,2024,05,220
and,C00-C97,2024,06,225
and,C00-C97,2024,07,430
and,C00-C97,2024,08,614
and,C00-C97,2024,09,669
and,C00-C97,2024,10,437
and,C00-C97,2024,11,245
