date,state,dead
2018-12,Massachusetts,5316
2018-12,Michigan,8432
2018-12,Minnesota,3893
2018-12,Mississippi,2820
2018-12,Missouri,5377
2018-12,Montana,838
2018-12,Nebraska,1464
2018-12,Nevada,2085
2018-12,New Hampshire,1143
2018-12,New Jersey,6618
2018-12,New Mexico,1623
2018-12,New York,13770
2018-12,North Carolina,8436
2018-12,North Dakota,575
2018-12,Ohio,10845
2018-12,Oklahoma,3458
2018-12,Oregon,3206
2018-12,Pennsylvania,11800
2018-12,Rhode Island,908
2018-12,South Carolina,4508
2018-12,South Dakota,676
2018-12,Tennessee,6304
2018-12,Texas,17945
2018-12,Utah,1575
2018-12,Vermont,496
2018-12,Virginia,6232
2018-12,Washington,4903
2018-12,West Virginia,2049
2018-12,Wisconsin,4642
2018-12,Wyoming,471
2019-01,Alabama,4911
2019-01,Alaska,421
2019-01,Arizona,5610
2019-01,Arkansas,2961
2019-01,California,24847
2019-01,Colorado,3553
2019-01,Connecticut,2899
2019-01,Delaware,856
2019-01,District of Columbia,438
2019-01,Florida,18133
2019-01,Georgia,7729
2019-01,Hawaii,1021
2019-01,Idaho,1212
2019-01,Illinois,9779
2019-01,Indiana,5866
2019-01,Iowa,2739
2019-01,Kansas,2495
2019-01,Kentucky,4349
2019-01,Louisiana,4124
2019-01,Maine,1356
2019-01,Maryland,4576
2019-01,Massachusetts,5569
2019-01,Michigan,8782
2019-01,Minnesota,4100
2019-01,Mississippi,2911
2019-01,Missouri,5604
2019-01,Montana,968
2019-01,Nebraska,1585
2019-01,Nevada,2306
2019-01,New Hampshire,1165
2019-01,New Jersey,6908
2019-01,New Mexico,1829
2019-01,New York,14399
2019-01,North Carolina,8395
2019-01,North Dakota,584
2019-01,Ohio,11376
2019-01,Oklahoma,3712
2019-01,Oregon,3260
2019-01,Pennsylvania,12311
2019-01,Rhode Island,982
2019-01,South Carolina,4555
2019-01,South Dakota,724
2019-01,Tennessee,6252
2019-01,Texas,18389
2019-01,Utah,1716
2019-01,Vermont,544
2019-01,Virginia,6110
2019-01,Washington,5236
2019-01,West Virginia,2186
2019-01,Wisconsin,4865
2019-01,Wyoming,451
2019-02,Alabama,4400
2019-02,Alaska,378
2019-02,Arizona,4732
2019-02,Arkansas,2766
2019-02,California,22738
2019-02,Colorado,3185
2019-02,Connecticut,2698
2019-02,Delaware,743
2019-02,District of Columbia,387
2019-02,Florida,16638
2019-02,Georgia,6683
2019-02,Hawaii,921
2019-02,Idaho,1235
2019-02,Illinois,9012
2019-02,Indiana,5397
2019-02,Iowa,2505
2019-02,Kansas,2271
2019-02,Kentucky,3965
2019-02,Louisiana,3745
2019-02,Maine,1224
2019-02,Maryland,4091
2019-02,Massachusetts,4911
2019-02,Michigan,7868
2019-02,Minnesota,3674
2019-02,Mississippi,2749
2019-02,Missouri,5108
2019-02,Montana,882
2019-02,Nebraska,1398
2019-02,Nevada,2120
2019-02,New Hampshire,1070
2019-02,New Jersey,6340
2019-02,New Mexico,1587
2019-02,New York,12830
2019-02,North Carolina,8139
2019-02,North Dakota,496
