age,cause,state,date,dead
all,C00-C97,Connecticut,2019-10,636
all,C00-C97,Connecticut,2019-11,651
all,C00-C97,Connecticut,2019-12,602
all,C00-C97,Connecticut,2020-01,652
all,C00-C97,Connecticut,2020-02,587
all,C00-C97,Connecticut,2020-03,624
all,C00-C97,Connecticut,2020-04,697
all,C00-C97,Connecticut,2020-05,610
all,C00-C97,Connecticut,2020-06,596
all,C00-C97,Connecticut,2020-07,580
all,C00-C97,Connecticut,2020-08,620
all,C00-C97,Connecticut,2020-09,637
all,C00-C97,Connecticut,2020-10,668
all,C00-C97,Connecticut,2020-11,620
all,C00-C97,Connecticut,2020-12,700
all,C00-C97,Connecticut,2021-01,716
all,C00-C97,Connecticut,2021-02,542
all,C00-C97,Connecticut,2021-03,613
all,C00-C97,Connecticut,2021-04,583
all,C00-C97,Connecticut,2021-05,568
all,C00-C97,Connecticut,2021-06,606
all,C00-C97,Connecticut,2021-07,598
all,C00-C97,Connecticut,2021-08,622
all,C00-C97,Connecticut,2021-09,630
all,C00-C97,Connecticut,2021-10,647
all,C00-C97,Connecticut,2021-11,597
all,C00-C97,Connecticut,2021-12,637
all,C00-C97,Connecticut,2022-01,711
all,C00-C97,Connecticut,2022-02,608
all,C00-C97,Connecticut,2022-03,635
all,C00-C97,Connecticut,2022-04,553
all,C00-C97,Connecticut,2022-05,599
all,C00-C97,Connecticut,2022-06,655
all,C00-C97,Connecticut,2022-07,630
all,C00-C97,Connecticut,2022-08,621
all,C00-C97,Connecticut,2022-09,590
all,C00-C97,Connecticut,2022-10,597
all,C00-C97,Connecticut,2022-11,627
all,C00-C97,Connecticut,2022-12,670
all,C00-C97,Connecticut,2023-01,617
all,C00-C97,Connecticut,2023-02,576
all,C00-C97,Connecticut,2023-03,581
all,C00-C97,Connecticut,2023-04,561
all,C00-C97,Connecticut,2023-05,567
all,C00-C97,Connecticut,2023-06,578
all,C00-C97,Connecticut,2023-07,629
all,C00-C97,Connecticut,2023-08,608
all,C00-C97,Connecticut,2023-09,643
all,C00-C97,Connecticut,2023-10,655
all,C00-C97,Connecticut,2023-11,597
all,C00-C97,Connecticut,2023-12,635
all,C00-C97,Connecticut,2024-01,614
all,C00-C97,Connecticut,2024-02,587
all,C00-C97,Connecticut,2024-03,624
all,C00-C97,Connecticut,2024-04,602
all,C00-C97,Connecticut,2024-05,565
all,C00-C97,Connecticut,2024-06,599
all,C00-C97,Connecticut,2024-07,589
all,C00-C97,Connecticut,2024-08,611
all,C00-C97,Connecticut,2024-09,573
all,C00-C97,Connecticut,2024-10,581
all,C00-C97,Connecticut,2024-11,395
all,C00-C97,Delaware,2018-01,218
all,C00-C97,Delaware,2018-02,169
all,C00-C97,Delaware,2018-03,201
