year,sex,age,cases
1978,Men,70,3077
1978,Woman,70,2352
1977,Men,70,2994
1977,Woman,70,2284
1976,Men,70,3101
1976,Woman,70,2204
1975,Men,70,3056
1975,Woman,70,2175
1974,Men,70,2902
1974,Woman,70,2128
1973,Men,70,2833
1973,Woman,70,2179
1972,Men,70,2758
1972,Woman,70,2114
1971,Men,70,2575
1971,Woman,70,1993
1970,Men,70,2444
1970,Woman,70,1963
2023,Men,75,8665
2023,Woman,75,6236
2022,Men,75,8898
2022,Woman,75,6347
2021,Men,75,8372
2021,Woman,75,5945
2020,Men,75,6937
2020,Woman,75,5158
2019,Men,75,7183
2019,Woman,75,5140
2018,Men,75,6608
2018,Woman,75,4535
2017,Men,75,5866
2017,Woman,75,4132
2016,Men,75,5584
2016,Woman,75,3961
2015,Men,75,5327
2015,Woman,75,3865
2014,Men,75,4991
2014,Woman,75,3603
2013,Men,75,4581
2013,Woman,75,3520
2012,Men,75,4218
2012,Woman,75,3268
2011,Men,75,4302
2011,Woman,75,3252
2010,Men,75,4280
2010,Woman,75,3064
2009,Men,75,4310
2009,Woman,75,3174
2008,Men,75,4045
2008,Woman,75,3074
2007,Men,75,4007
2007,Woman,75,3110
2006,Men,75,4154
2006,Woman,75,3046
2005,Men,75,4254
2005,Woman,75,3038
2004,Men,75,4375
2004,Woman,75,3010
2003,Men,75,4340
2003,Woman,75,2889
2002,Men,75,4158
2002,Woman,75,2991
2001,Men,75,4307
2001,Woman,75,3007
2000,Men,75,4396
2000,Woman,75,3107
1999,Men,75,4527
1999,Woman,75,3197
1998,Men,75,4238
1998,Woman,75,3009
1997,Men,75,4228
1997,Woman,75,3006
1996,Men,75,4043
1996,Woman,75,3117
1995,Men,75,3927
1995,Woman,75,2889
1994,Men,75,3930
1994,Woman,75,2838
1993,Men,75,3950
1993,Woman,75,2865
1992,Men,75,4002
1992,Woman,75,2853
1991,Men,75,3792
1991,Woman,75,2808
1990,Men,75,3660
1990,Woman,75,3023
1989,Men,75,3741
1989,Woman,75,2816
1988,Men,75,3801
1988,Woman,75,2744
1987,Men,75,3871
1987,Woman,75,2785
1986,Men,75,3587
1986,Woman,75,2858
1985,Men,75,3527
1985,Woman,75,2696
1984,Men,75,3448
1984,Woman,75,2701
1983,Men,75,3233
1983,Woman,75,2638
1982,Men,75,3156
1982,Woman,75,2392
1981,Men,75,3036
1981,Woman,75,2465
1980,Men,75,2916
1980,Woman,75,2354
1979,Men,75,2906
1979,Woman,75,2348
1978,Men,75,2865
1978,Woman,75,2266
1977,Men,75,2717
1977,Woman,75,2135
1976,Men,75,2720
1976,Woman,75,2060
1975,Men,75,2601
1975,Woman,75,2026
1974,Men,75,2693
1974,Woman,75,2144
1973,Men,75,2524
1973,Woman,75,1920
1972,Men,75,2400
1972,Woman,75,1951
1971,Men,75,2208
1971,Woman,75,1800
1970,Men,75,2138
1970,Woman,75,1734
2023,Men,80,6277
2023,Woman,80,4856
2022,Men,80,6060
2022,Woman,80,4578
2021,Men,80,5379
2021,Woman,80,4419
2020,Men,80,4586
2020,Woman,80,4023
2019,Men,80,4737
2019,Woman,80,3915
2018,Men,80,4456
2018,Woman,80,3739
2017,Men,80,4112
2017,Woman,80,3434
2016,Men,80,3973
2016,Woman,80,3281
2015,Men,80,3869
2015,Woman,80,3205
2014,Men,80,3679
2014,Woman,80,3189
2013,Men,80,3673
2013,Woman,80,3235
2012,Men,80,3429
2012,Woman,80,2993
2011,Men,80,3567
2011,Woman,80,3056
2010,Men,80,3486
2010,Woman,80,2909
2009,Men,80,3402
2009,Woman,80,2900
2008,Men,80,3314
2008,Woman,80,2923
2007,Men,80,3307
2007,Woman,80,2812
2006,Men,80,3504
2006,Woman,80,2834
2005,Men,80,3615
2005,Woman,80,2912
2004,Men,80,3598
2004,Woman,80,2873
2003,Men,80,3620
2003,Woman,80,2911
2002,Men,80,3434
2002,Woman,80,2766
2001,Men,80,3306
2001,Woman,80,2759
2000,Men,80,3225
2000,Woman,80,2615
1999,Men,80,3048
1999,Woman,80,2499
1998,Men,80,2872
1998,Woman,80,2464
1997,Men,80,2928
1997,Woman,80,2472
1996,Men,80,2854
1996,Woman,80,2553
1995,Men,80,2861
1995,Woman,80,2394
1994,Men,80,2973
1994,Woman,80,2371
1993,Men,80,2848
1993,Woman,80,2456
1992,Men,80,2822
1992,Woman,80,2389
1991,Men,80,2712
1991,Woman,80,2297
1990,Men,80,2629
1990,Woman,80,2316
1989,Men,80,2518
1989,Woman,80,2316
1988,Men,80,2468
1988,Woman,80,2294
1987,Men,80,2490
1987,Woman,80,2238
1986,Men,80,2437
1986,Woman,80,2135
1985,Men,80,2336
1985,Woman,80,2123
1984,Men,80,2354
1984,Woman,80,2031
1983,Men,80,2233
1983,Woman,80,2020
1982,Men,80,2180
1982,Woman,80,1911
1981,Men,80,1947
1981,Woman,80,1833
1980,Men,80,1914
1980,Woman,80,1844
1979,Men,80,1915
1979,Woman,80,1805
1978,Men,80,1778
1978,Woman,80,1635
1977,Men,80,1790
1977,Woman,80,1616
1976,Men,80,1705
1976,Woman,80,1541
1975,Men,80,1653
1975,Woman,80,1507
1974,Men,80,1691
1974,Woman,80,1516
1973,Men,80,1590
1973,Woman,80,1444
1972,Men,80,1582
1972,Woman,80,1371
1971,Men,80,1534
1971,Woman,80,1343
1970,Men,80,1446
1970,Woman,80,1313
2023,Men,85,4399
2023,Woman,85,4682
2022,Men,85,4404
2022,Woman,85,4695
2021,Men,85,4252
2021,Woman,85,4729
2020,Men,85,3739
2020,Woman,85,3904
2019,Men,85,3788
2019,Woman,85,4104
2018,Men,85,3608
2018,Woman,85,3870
2017,Men,85,3482
2017,Woman,85,3893
2016,Men,85,3441
2016,Woman,85,3862
2015,Men,85,3308
2015,Woman,85,3560
2014,Men,85,3250
2014,Woman,85,3717
2013,Men,85,3026
2013,Woman,85,3410
2012,Men,85,2912
2012,Woman,85,3348
2011,Men,85,2974
2011,Woman,85,3347
2010,Men,85,2769
2010,Woman,85,3157
2009,Men,85,2750
2009,Woman,85,3116
2008,Men,85,2637
2008,Woman,85,2848
2007,Men,85,2475
2007,Woman,85,2852
2006,Men,85,2496
2006,Woman,85,2882
2005,Men,85,2370
2005,Woman,85,2730
2004,Men,85,2207
2004,Woman,85,2515
2003,Men,85,2136
2003,Woman,85,2279
2002,Men,85,2063
2002,Woman,85,2254
2001,Men,85,2029
2001,Woman,85,2320
2000,Men,85,2005
2000,Woman,85,2213
1999,Men,85,1958
1999,Woman,85,2160
1998,Men,85,1830
1998,Woman,85,2127
1997,Men,85,1744
1997,Woman,85,2050
1996,Men,85,1717
1996,Woman,85,2099
1995,Men,85,1643
1995,Woman,85,1899
1994,Men,85,1638
1994,Woman,85,1923
1993,Men,85,1539
1993,Woman,85,1914
1992,Men,85,1569
1992,Woman,85,1793
1991,Men,85,1470
1991,Woman,85,1768
1990,Men,85,1465
1990,Woman,85,1796
1989,Men,85,1516
1989,Woman,85,1810
1988,Men,85,1388
1988,Woman,85,1735
1987,Men,85,1410
1987,Woman,85,1761
1986,Men,85,1379
1986,Woman,85,1696
1985,Men,85,1326
1985,Woman,85,1731
1984,Men,85,1308
1984,Woman,85,1545
1983,Men,85,1314
1983,Woman,85,1500
1982,Men,85,1177
1982,Woman,85,1454
1981,Men,85,1141
1981,Woman,85,1351
1980,Men,85,1131
1980,Woman,85,1347
1979,Men,85,1114
1979,Woman,85,1316
1978,Men,85,1034
1978,Woman,85,1184
1977,Men,85,1064
1977,Woman,85,1214
1976,Men,85,970
1976,Woman,85,1090
1975,Men,85,1066
1975,Woman,85,1058
1974,Men,85,1022
1974,Woman,85,1061
1973,Men,85,1027
1973,Woman,85,1031
1972,Men,85,998
1972,Woman,85,936
1971,Men,85,952
1971,Woman,85,818
1970,Men,85,805
1970,Woman,85,865
2023,Men,Total,41825
2023,Woman,Total,38677
2022,Men,Total,42641
2022,Woman,Total,38554
2021,Men,Total,40359
2021,Woman,Total,38844
2020,Men,Total,36879
2020,Woman,Total,35031
2019,Men,Total,38972
2019,Woman,Total,36398
2018,Men,Total,37694
2018,Woman,Total,34796
2017,Men,Total,36374
2017,Woman,Total,34298
2016,Men,Total,35922
2016,Woman,Total,32768
2015,Men,Total,35161
2015,Woman,Total,32094
2014,Men,Total,34927
2014,Woman,Total,32117
2013,Men,Total,32838
2013,Woman,Total,30698
2012,Men,Total,30788
2012,Woman,Total,29292
2011,Men,Total,31364
2011,Woman,Total,28946
2010,Men,Total,30427
2010,Woman,Total,27539
2009,Men,Total,30527
2009,Woman,Total,26886
2008,Men,Total,28043
2008,Woman,Total,26055
2007,Men,Total,27327
2007,Woman,Total,25397
2006,Men,Total,27854
2006,Woman,Total,24950
2005,Men,Total,27748
2005,Woman,Total,24479
2004,Men,Total,27616
2004,Woman,Total,24190
2003,Men,Total,26264
2003,Woman,Total,23694
2002,Men,Total,24853
2002,Woman,Total,23305
2001,Men,Total,24244
2001,Woman,Total,23011
2000,Men,Total,23833
2000,Woman,Total,22546
1999,Men,Total,23728
1999,Woman,Total,22154
1998,Men,Total,22491
1998,Woman,Total,21917
1997,Men,Total,21959
1997,Woman,Total,21486
1996,Men,Total,21565
1996,Woman,Total,21722
1995,Men,Total,21247
1995,Woman,Total,21235
1994,Men,Total,21807
1994,Woman,Total,21193
1993,Men,Total,21473
1993,Woman,Total,20791
1992,Men,Total,21126
1992,Woman,Total,20517
1991,Men,Total,20873
1991,Woman,Total,20310
1990,Men,Total,20086
1990,Woman,Total,20812
1989,Men,Total,20447
1989,Woman,Total,19909
1988,Men,Total,20251
1988,Woman,Total,19728
1987,Men,Total,20214
1987,Woman,Total,19840
1986,Men,Total,19597
1986,Woman,Total,19076
1985,Men,Total,19532
1985,Woman,Total,18715
1984,Men,Total,19414
1984,Woman,Total,18497
1983,Men,Total,18775
1983,Woman,Total,18304
1982,Men,Total,18288
1982,Woman,Total,17783
1981,Men,Total,17708
1981,Woman,Total,17428
1980,Men,Total,17660
1980,Woman,Total,17311
1979,Men,Total,17067
1979,Woman,Total,17426
1978,Men,Total,16725
1978,Woman,Total,16682
1977,Men,Total,16469
1977,Woman,Total,16465
1976,Men,Total,16692
1976,Woman,Total,15894
1975,Men,Total,16183
1975,Woman,Total,15621
1974,Men,Total,16118
1974,Woman,Total,15690
1973,Men,Total,15882
1973,Woman,Total,15435
1972,Men,Total,15325
1972,Woman,Total,15212
1971,Men,Total,14713
1971,Woman,Total,14582
1970,Men,Total,14044
1970,Woman,Total,14396
