location,age,dose,month,dead,pop
Makinohara/Shizuoka,all,1,2022-07,0,4223
Makinohara/Shizuoka,all,2,2022-07,5,206257
Makinohara/Shizuoka,all,3,2022-07,30,748297
Makinohara/Shizuoka,all,4,2022-07,3,118592
Makinohara/Shizuoka,all,5,2022-07,0,0
Makinohara/Shizuoka,all,6,2022-07,0,0
Makinohara/Shizuoka,all,7,2022-07,0,0
Makinohara/Shizuoka,80over,0,2022-08,2,6039
Makinohara/Shizuoka,80over,1,2022-08,0,372
Makinohara/Shizuoka,80over,2,2022-08,2,4317
Makinohara/Shizuoka,80over,3,2022-08,14,22729
Makinohara/Shizuoka,80over,4,2022-08,5,106980
Makinohara/Shizuoka,80over,5,2022-08,0,0
Makinohara/Shizuoka,80over,6,2022-08,0,0
Makinohara/Shizuoka,80over,7,2022-08,0,0
Makinohara/Shizuoka,all,0,2022-08,3,161660
Makinohara/Shizuoka,all,1,2022-08,0,4608
Makinohara/Shizuoka,all,2,2022-08,5,191149
Makinohara/Shizuoka,all,3,2022-08,23,528525
Makinohara/Shizuoka,all,4,2022-08,9,353736
Makinohara/Shizuoka,all,5,2022-08,0,0
Makinohara/Shizuoka,all,6,2022-08,0,0
Makinohara/Shizuoka,all,7,2022-08,0,0
Makinohara/Shizuoka,80over,0,2022-09,0,5820
Makinohara/Shizuoka,80over,1,2022-09,0,338
Makinohara/Shizuoka,80over,2,2022-09,3,3918
Makinohara/Shizuoka,80over,3,2022-09,11,13611
Makinohara/Shizuoka,80over,4,2022-09,9,111646
Makinohara/Shizuoka,80over,5,2022-09,0,0
Makinohara/Shizuoka,80over,6,2022-09,0,0
Makinohara/Shizuoka,80over,7,2022-09,0,0
Makinohara/Shizuoka,all,0,2022-09,4,154975
Makinohara/Shizuoka,all,1,2022-09,0,4037
Makinohara/Shizuoka,all,2,2022-09,5,177797
Makinohara/Shizuoka,all,3,2022-09,19,439000
Makinohara/Shizuoka,all,4,2022-09,12,422764
Makinohara/Shizuoka,all,5,2022-09,0,0
Makinohara/Shizuoka,all,6,2022-09,0,0
Makinohara/Shizuoka,all,7,2022-09,0,0
Makinohara/Shizuoka,80over,0,2022-10,2,5967
Makinohara/Shizuoka,80over,1,2022-10,0,341
Makinohara/Shizuoka,80over,2,2022-10,2,3906
Makinohara/Shizuoka,80over,3,2022-10,6,11994
Makinohara/Shizuoka,80over,4,2022-10,17,116767
Makinohara/Shizuoka,80over,5,2022-10,0,0
Makinohara/Shizuoka,80over,6,2022-10,0,0
Makinohara/Shizuoka,80over,7,2022-10,0,0
Makinohara/Shizuoka,all,0,2022-10,3,159446
Makinohara/Shizuoka,all,1,2022-10,0,3762
Makinohara/Shizuoka,all,2,2022-10,2,178803
Makinohara/Shizuoka,all,3,2022-10,9,384389
Makinohara/Shizuoka,all,4,2022-10,36,510721
Makinohara/Shizuoka,all,5,2022-10,0,2
Makinohara/Shizuoka,all,6,2022-10,0,0
Makinohara/Shizuoka,all,7,2022-10,0,0
Makinohara/Shizuoka,80over,0,2022-11,1,5732
Makinohara/Shizuoka,80over,1,2022-11,0,340
Makinohara/Shizuoka,80over,2,2022-11,0,3713
Makinohara/Shizuoka,80over,3,2022-11,6,10470
Makinohara/Shizuoka,80over,4,2022-11,18,91749
Makinohara/Shizuoka,80over,5,2022-11,1,21674
Makinohara/Shizuoka,80over,6,2022-11,0,0
Makinohara/Shizuoka,80over,7,2022-11,0,0
Makinohara/Shizuoka,all,0,2022-11,3,153833
Makinohara/Shizuoka,all,1,2022-11,1,3359
Makinohara/Shizuoka,all,2,2022-11,2,164643
Makinohara/Shizuoka,all,3,2022-11,12,302609
Makinohara/Shizuoka,all,4,2022-11,28,502444
Makinohara/Shizuoka,all,5,2022-11,3,68760
Makinohara/Shizuoka,all,6,2022-11,0,0
Makinohara/Shizuoka,all,7,2022-11,0,0
Makinohara/Shizuoka,80over,0,2022-12,6,5825
Makinohara/Shizuoka,80over,1,2022-12,0,357
Makinohara/Shizuoka,80over,2,2022-12,2,3764
Makinohara/Shizuoka,80over,3,2022-12,1,9362
Makinohara/Shizuoka,80over,4,2022-12,14,33223
Makinohara/Shizuoka,80over,5,2022-12,9,84903
Makinohara/Shizuoka,80over,6,2022-12,0,0
Makinohara/Shizuoka,80over,7,2022-12,0,0
Makinohara/Shizuoka,all,0,2022-12,9,158218
Makinohara/Shizuoka,all,1,2022-12,0,3734
Makinohara/Shizuoka,all,2,2022-12,4,163468
Makinohara/Shizuoka,all,3,2022-12,9,255967
Makinohara/Shizuoka,all,4,2022-12,24,357854
Makinohara/Shizuoka,all,5,2022-12,17,294712
Makinohara/Shizuoka,all,6,2022-12,0,0
Makinohara/Shizuoka,all,7,2022-12,0,0
Makinohara/Shizuoka,80over,0,2023-01,5,5624
Makinohara/Shizuoka,80over,1,2023-01,0,341
Makinohara/Shizuoka,80over,2,2023-01,2,3683
Makinohara/Shizuoka,80over,3,2023-01,7,8513
Makinohara/Shizuoka,80over,4,2023-01,15,18936
Makinohara/Shizuoka,80over,5,2023-01,10,99139
Makinohara/Shizuoka,80over,6,2023-01,0,0
Makinohara/Shizuoka,80over,7,2023-01,0,0
Makinohara/Shizuoka,all,0,2023-01,9,157224
Makinohara/Shizuoka,all,1,2023-01,1,3834
Makinohara/Shizuoka,all,2,2023-01,5,159507
Makinohara/Shizuoka,all,3,2023-01,11,233079
Makinohara/Shizuoka,all,4,2023-01,24,307432
Makinohara/Shizuoka,all,5,2023-01,22,370659
Makinohara/Shizuoka,all,6,2023-01,0,0
Makinohara/Shizuoka,all,7,2023-01,0,0
Makinohara/Shizuoka,80over,0,2023-02,0,5012
Makinohara/Shizuoka,80over,1,2023-02,0,308
Makinohara/Shizuoka,80over,2,2023-02,1,3254
Makinohara/Shizuoka,80over,3,2023-02,6,7333
Makinohara/Shizuoka,80over,4,2023-02,7,14533
Makinohara/Shizuoka,80over,5,2023-02,14,91660
Makinohara/Shizuoka,80over,6,2023-02,0,0
Makinohara/Shizuoka,80over,7,2023-02,0,0
Makinohara/Shizuoka,all,0,2023-02,2,141421
Makinohara/Shizuoka,all,1,2023-02,0,3290
Makinohara/Shizuoka,all,2,2023-02,2,141863
Makinohara/Shizuoka,all,3,2023-02,11,205950
Makinohara/Shizuoka,all,4,2023-02,14,270928
Makinohara/Shizuoka,all,5,2023-02,30,347211
Makinohara/Shizuoka,all,6,2023-02,0,0
Makinohara/Shizuoka,all,7,2023-02,0,0
Makinohara/Shizuoka,80over,0,2023-03,1,5522
Makinohara/Shizuoka,80over,1,2023-03,0,341
Makinohara/Shizuoka,80over,2,2023-03,1,3545
Makinohara/Shizuoka,80over,3,2023-03,4,7912
Makinohara/Shizuoka,80over,4,2023-03,13,14939
Makinohara/Shizuoka,80over,5,2023-03,16,101794
Makinohara/Shizuoka,80over,6,2023-03,0,0
Makinohara/Shizuoka,80over,7,2023-03,0,0
Makinohara/Shizuoka,all,0,2023-03,3,156149
Makinohara/Shizuoka,all,1,2023-03,1,3514
Makinohara/Shizuoka,all,2,2023-03,4,155495
Makinohara/Shizuoka,all,3,2023-03,6,226783
Makinohara/Shizuoka,all,4,2023-03,18,298845
Makinohara/Shizuoka,all,5,2023-03,31,386897
Makinohara/Shizuoka,all,6,2023-03,0,0
Makinohara/Shizuoka,all,7,2023-03,0,0
Makinohara/Shizuoka,80over,0,2023-04,0,5340
Makinohara/Shizuoka,80over,1,2023-04,0,330
Makinohara/Shizuoka,80over,2,2023-04,2,3382
Makinohara/Shizuoka,80over,3,2023-04,1,7583
Makinohara/Shizuoka,80over,4,2023-04,3,13955
Makinohara/Shizuoka,80over,5,2023-04,15,98420
Makinohara/Shizuoka,80over,6,2023-04,0,0
Makinohara/Shizuoka,80over,7,2023-04,0,0
Makinohara/Shizuoka,all,0,2023-04,2,150943
Makinohara/Shizuoka,all,1,2023-04,0,3194
Makinohara/Shizuoka,all,2,2023-04,3,149823
Makinohara/Shizuoka,all,3,2023-04,3,217715
Makinohara/Shizuoka,all,4,2023-04,11,289990
Makinohara/Shizuoka,all,5,2023-04,26,374929
Makinohara/Shizuoka,all,6,2023-04,0,0
Makinohara/Shizuoka,all,7,2023-04,0,0
Makinohara/Shizuoka,80over,0,2023-05,1,5491
Makinohara/Shizuoka,80over,1,2023-05,0,341
Makinohara/Shizuoka,80over,2,2023-05,0,3454
Makinohara/Shizuoka,80over,3,2023-05,0,7788
Makinohara/Shizuoka,80over,4,2023-05,3,14138
Makinohara/Shizuoka,80over,5,2023-05,16,92619
Makinohara/Shizuoka,80over,6,2023-05,0,8850
Makinohara/Shizuoka,80over,7,2023-05,0,0
Makinohara/Shizuoka,all,0,2023-05,2,155833
Makinohara/Shizuoka,all,1,2023-05,0,3275
Makinohara/Shizuoka,all,2,2023-05,0,154583
Makinohara/Shizuoka,all,3,2023-05,4,224469
Makinohara/Shizuoka,all,4,2023-05,7,298865
Makinohara/Shizuoka,all,5,2023-05,24,361169
Makinohara/Shizuoka,all,6,2023-05,0,26659
Makinohara/Shizuoka,all,7,2023-05,0,0
Makinohara/Shizuoka,80over,0,2023-06,1,5305
Makinohara/Shizuoka,80over,1,2023-06,0,330
Makinohara/Shizuoka,80over,2,2023-06,0,3220
Makinohara/Shizuoka,80over,3,2023-06,1,7262
Makinohara/Shizuoka,80over,4,2023-06,4,12255
Makinohara/Shizuoka,80over,5,2023-06,13,45953
Makinohara/Shizuoka,80over,6,2023-06,0,53348
Makinohara/Shizuoka,80over,7,2023-06,0,0
Makinohara/Shizuoka,all,0,2023-06,1,150679
Makinohara/Shizuoka,all,1,2023-06,0,3210
Makinohara/Shizuoka,all,2,2023-06,1,149324
Makinohara/Shizuoka,all,3,2023-06,2,216443
Makinohara/Shizuoka,all,4,2023-06,5,283040
Makinohara/Shizuoka,all,5,2023-06,19,213238
Makinohara/Shizuoka,all,6,2023-06,4,168275
Makinohara/Shizuoka,all,7,2023-06,0,0
Makinohara/Shizuoka,80over,0,2023-07,2,5428
Makinohara/Shizuoka,80over,1,2023-07,1,311
Makinohara/Shizuoka,80over,2,2023-07,1,3284
Makinohara/Shizuoka,80over,3,2023-07,2,7413
Makinohara/Shizuoka,80over,4,2023-07,5,11635
Makinohara/Shizuoka,80over,5,2023-07,7,33691
Makinohara/Shizuoka,80over,6,2023-07,7,69614
Makinohara/Shizuoka,80over,7,2023-07,0,0
Makinohara/Shizuoka,all,0,2023-07,2,155592
Makinohara/Shizuoka,all,1,2023-07,1,3209
Makinohara/Shizuoka,all,2,2023-07,2,154265
Makinohara/Shizuoka,all,3,2023-07,4,223000
