code,type,year,month,dead
I21+I22+I46+I50,mcd,2012,05,1047
I21+I22+I46+I50,mcd,2012,06,953
I21+I22+I46+I50,mcd,2012,07,963
I21+I22+I46+I50,mcd,2012,08,938
I21+I22+I46+I50,mcd,2012,09,907
I21+I22+I46+I50,mcd,2012,10,942
I21+I22+I46+I50,mcd,2012,11,1041
I21+I22+I46+I50,mcd,2012,12,1057
I21+I22+I46+I50,mcd,2013,01,1214
I21+I22+I46+I50,mcd,2013,02,1033
I21+I22+I46+I50,mcd,2013,03,1113
I21+I22+I46+I50,mcd,2013,04,1070
I21+I22+I46+I50,mcd,2013,05,1007
I21+I22+I46+I50,mcd,2013,06,924
I21+I22+I46+I50,mcd,2013,07,980
I21+I22+I46+I50,mcd,2013,08,977
I21+I22+I46+I50,mcd,2013,09,950
I21+I22+I46+I50,mcd,2013,10,1029
I21+I22+I46+I50,mcd,2013,11,1070
I21+I22+I46+I50,mcd,2013,12,1127
I21+I22+I46+I50,mcd,2014,01,1100
I21+I22+I46+I50,mcd,2014,02,1098
I21+I22+I46+I50,mcd,2014,03,1193
I21+I22+I46+I50,mcd,2014,04,1076
I21+I22+I46+I50,mcd,2014,05,960
I21+I22+I46+I50,mcd,2014,06,961
I21+I22+I46+I50,mcd,2014,07,1014
I21+I22+I46+I50,mcd,2014,08,987
I21+I22+I46+I50,mcd,2014,09,960
I21+I22+I46+I50,mcd,2014,10,1073
I21+I22+I46+I50,mcd,2014,11,1070
I21+I22+I46+I50,mcd,2014,12,1205
I21+I22+I46+I50,mcd,2015,01,1231
I21+I22+I46+I50,mcd,2015,02,1103
I21+I22+I46+I50,mcd,2015,03,1225
I21+I22+I46+I50,mcd,2015,04,1113
I21+I22+I46+I50,mcd,2015,05,1205
I21+I22+I46+I50,mcd,2015,06,1067
I21+I22+I46+I50,mcd,2015,07,1063
I21+I22+I46+I50,mcd,2015,08,1015
I21+I22+I46+I50,mcd,2015,09,1062
I21+I22+I46+I50,mcd,2015,10,1085
I21+I22+I46+I50,mcd,2015,11,1128
I21+I22+I46+I50,mcd,2015,12,1305
I21+I22+I46+I50,mcd,2016,01,1224
I21+I22+I46+I50,mcd,2016,02,1161
I21+I22+I46+I50,mcd,2016,03,1275
I21+I22+I46+I50,mcd,2016,04,1138
I21+I22+I46+I50,mcd,2016,05,1154
I21+I22+I46+I50,mcd,2016,06,1080
I21+I22+I46+I50,mcd,2016,07,1067
I21+I22+I46+I50,mcd,2016,08,1010
I21+I22+I46+I50,mcd,2016,09,1014
I21+I22+I46+I50,mcd,2016,10,1091
I21+I22+I46+I50,mcd,2016,11,1138
I21+I22+I46+I50,mcd,2016,12,1275
I21+I22+I46+I50,mcd,2017,01,1500
I21+I22+I46+I50,mcd,2017,02,1260
I21+I22+I46+I50,mcd,2017,03,1316
I21+I22+I46+I50,mcd,2017,04,1120
I21+I22+I46+I50,mcd,2017,05,1167
I21+I22+I46+I50,mcd,2017,06,1044
I21+I22+I46+I50,mcd,2017,07,1043
I21+I22+I46+I50,mcd,2017,08,1090
I21+I22+I46+I50,mcd,2017,09,1072
I21+I22+I46+I50,mcd,2017,10,1163
I21+I22+I46+I50,mcd,2017,11,1176
I21+I22+I46+I50,mcd,2017,12,1282
I21+I22+I46+I50,mcd,2018,01,1382
I21+I22+I46+I50,mcd,2018,02,1195
I21+I22+I46+I50,mcd,2018,03,1401
I21+I22+I46+I50,mcd,2018,04,1241
I21+I22+I46+I50,mcd,2018,05,1186
I21+I22+I46+I50,mcd,2018,06,1162
I21+I22+I46+I50,mcd,2018,07,1134
I21+I22+I46+I50,mcd,2018,08,1107
I21+I22+I46+I50,mcd,2018,09,1092
I21+I22+I46+I50,mcd,2018,10,1270
I21+I22+I46+I50,mcd,2018,11,1229
I21+I22+I46+I50,mcd,2018,12,1256
I21+I22+I46+I50,mcd,2019,01,1316
I21+I22+I46+I50,mcd,2019,02,1327
I21+I22+I46+I50,mcd,2019,03,1412
I21+I22+I46+I50,mcd,2019,04,1273
I21+I22+I46+I50,mcd,2019,05,1256
I21+I22+I46+I50,mcd,2019,06,1150
I21+I22+I46+I50,mcd,2019,07,1170
I21+I22+I46+I50,mcd,2019,08,1142
I21+I22+I46+I50,mcd,2019,09,1123
I21+I22+I46+I50,mcd,2019,10,1313
I21+I22+I46+I50,mcd,2019,11,1194
I21+I22+I46+I50,mcd,2019,12,1275
I21+I22+I46+I50,mcd,2020,01,1375
I21+I22+I46+I50,mcd,2020,02,1209
I21+I22+I46+I50,mcd,2020,03,1402
I21+I22+I46+I50,mcd,2020,04,1354
I21+I22+I46+I50,mcd,2020,05,1232
I21+I22+I46+I50,mcd,2020,06,1173
I21+I22+I46+I50,mcd,2020,07,1262
I21+I22+I46+I50,mcd,2020,08,1280
I21+I22+I46+I50,mcd,2020,09,1287
I21+I22+I46+I50,mcd,2020,10,1286
I21+I22+I46+I50,mcd,2020,11,1388
I21+I22+I46+I50,mcd,2020,12,1517
I21+I22+I46+I50,mcd,2021,01,1564
I21+I22+I46+I50,mcd,2021,02,1313
I21+I22+I46+I50,mcd,2021,03,1378
I21+I22+I46+I50,mcd,2021,04,1305
I21+I22+I46+I50,mcd,2021,05,1325
I21+I22+I46+I50,mcd,2021,06,1381
I21+I22+I46+I50,mcd,2021,07,1347
I21+I22+I46+I50,mcd,2021,08,1392
I21+I22+I46+I50,mcd,2021,09,1461
I21+I22+I46+I50,mcd,2021,10,1551
I21+I22+I46+I50,mcd,2021,11,1445
I21+I22+I46+I50,mcd,2021,12,1562
I21+I22+I46+I50,mcd,2022,01,1830
I21+I22+I46+I50,mcd,2022,02,1450
I21+I22+I46+I50,mcd,2022,03,1403
I21+I22+I46+I50,mcd,2022,04,1434
I21+I22+I46+I50,mcd,2022,05,1410
I21+I22+I46+I50,mcd,2022,06,1356
I21+I22+I46+I50,mcd,2022,07,1437
I21+I22+I46+I50,mcd,2022,08,1372
I21+I22+I46+I50,mcd,2022,09,1319
